record_index,uniprot_id,nr_code,common_name,search_terms,group
0,P10275,NR3C4,AR,"[""Androgen receptor""]",Steroid hormone receptors
1,P03372,NR3A1,ERα,"[""Estrogen receptor""]",Steroid hormone receptors
2,Q92731,NR3A2,ERβ,"[""Estrogen receptor beta""]",Steroid hormone receptors
3,P04150,NR3C1,GR,"[""Glucocorticoid receptor""]",Steroid hormone receptors
4,P08235,NR3C2,MR,"[""Mineralocorticoid receptor""]",Steroid hormone receptors
5,P06401,NR3C3,PR,"[""Progesterone receptor""]",Steroid hormone receptors
6,P10276,NR1B1,RARα,"[""Retinoic acid receptor alpha""]",Steroid hormone receptors
7,P10826,NR1B2,RARβ,"[""Retinoic acid receptor beta""]",Steroid hormone receptors
8,P13631,NR1B3,RARγ,"[""Retinoic acid receptor gamma""]",Steroid hormone receptors
9,P10827,NR1A1,TRα,"[""Thyroid hormone receptor alpha""]",Steroid hormone receptors
10,P10828,NR1A2,TRβ,"[""Thyroid hormone receptor beta""]",Steroid hormone receptors
11,P11473,NR1I1,VDR,"[""Vitamin D3 receptor"",""Vitamin D3 receptor A"",""Vitamin D receptor""]",Steroid hormone receptors
12,Q14994,NR1I3,CAR,"[""Nuclear receptor subfamily 1 group I member 3""]",Nutritional sensors
13,P11474,NR3B1,ERRα,"[""Steroid hormone receptor ERR1""]",Nutritional sensors
14,O95718,NR3B2,ERRβ,"[""Steroid hormone receptor ERR2""]",Nutritional sensors
15,P62508,NR3B3,ERRγ,"[""Estrogen-related receptor gamma""]",Nutritional sensors
16,Q96RI1,NR1H4,FXR,"[""Bile acid receptor""]",Nutritional sensors
17,P41235,NR2A1,HNF4α,"[""Hepatocyte nuclear factor 4-alpha""]",Nutritional sensors
18,Q14541,NR2A2,HNF4γ,"[""Hepatocyte nuclear factor 4-gamma""]",Nutritional sensors
19,O00482,NR5A2,LRH-1,"[""Nuclear receptor subfamily 5 group A member 2""]",Nutritional sensors
20,Q13133,NR1H3,LXRα,"[""Oxysterols receptor LXR-alpha""]",Nutritional sensors
21,P55055,NR1H2,LXRβ,"[""OXYSTEROLS RECEPTOR LXR-BETA""]",Nutritional sensors
22,P22736,NR4A1,NUR77,"[""Nuclear receptor subfamily 4 group A member 1""]",Nutritional sensors
23,P43354,NR4A2,NURR1,"[""Nuclear receptor subfamily 4 group A member 2""]",Nutritional sensors
24,Q07869,NR1C1,PPARα,"[""Peroxisome proliferator-activated receptor alpha""]",Nutritional sensors
25,Q03181,NR1C2,PPARδ,"[""Peroxisome proliferator-activated receptor delta""]",Nutritional sensors
26,P37231,NR1C3,PPARγ,"[""Peroxisome proliferator-activated receptor gamma""]",Nutritional sensors
27,O75469,NR1I2,PXR,"[""Nuclear receptor subfamily 1 group I member 2""]",Nutritional sensors
28,P20393,NR1D1,Rev-erbα,"[""Nuclear receptor subfamily 1 group D member 1""]",Nutritional sensors
29,Q14995,NR1D2,Rev-erbβ,"[""Nuclear receptor subfamily 1 group D member 2""]",Nutritional sensors
30,P35398,NR1F1,RORα,"[""Nuclear receptor ROR-alpha""]",Nutritional sensors
31,Q92753,NR1F2,RORβ,"[""Nuclear receptor ROR-beta""]",Nutritional sensors
32,P51449,NR1F3,RORγ,"[""Nuclear receptor ROR-gamma""]",Nutritional sensors
33,P19793,NR2B1,RXRα,"[""RETINOIC ACID RECEPTOR RXR-ALPHA""]",Nutritional sensors
34,P28702,NR2B2,RXRβ,"[""Retinoic acid receptor RXR-beta""]",Nutritional sensors
35,P48443,NR2B3,RXRγ,"[""Retinoic acid receptor RXR-gamma""]",Nutritional sensors
36,Q13285,NR5A1,SF-1,"[""Steroidogenic factor 1""]",Nutritional sensors
37,P13056,NR2C1,TR2,"[""Nuclear receptor subfamily 2 group C member 1""]",Nutritional sensors
38,P49116,NR2C2,TR4,"[""Nuclear receptor subfamily 2 group C member 2""]",Nutritional sensors
39,P10589,NR2F1,COUP-TFI,"[""COUP transcription factor 1""]",Orphan receptors
40,P24468,NR2F2,COUP-TFII,"[""COUP transcription factor 2""]",Orphan receptors
41,P51843,NR0B1,DAX-1,"[""Nuclear receptor subfamily 0 group B member 1""]",Orphan receptors
42,P10588,NR2F6,EAR-2,"[""Nuclear receptor subfamily 2 group F member 6""]",Orphan receptors
43,Q15406,NR6A1,GCNF,"[""Nuclear receptor subfamily 6 group A member 1""]",Orphan receptors
44,Q92570,NR4A3,NOR-1,"[""Nuclear receptor subfamily 4 group A member 3""]",Orphan receptors
45,Q9Y5X4,NR2E3,PNR,"[""Photoreceptor-specific nuclear receptor""]",Orphan receptors
46,Q15466,NR0B2,SHP,"[""Nuclear receptor subfamily 0 group B member 2""]",Orphan receptors
47,Q9Y466,NR2E1,TLX,"[""Nuclear receptor subfamily 2 group E member 1""]",Orphan receptors
