record_index,uniprot_id,nr_code,common_name,search_terms,group,uniprot_entry_name,primary_gene_name,recommended_protein_name,organism_taxon_id,reviewed_status,uniprot_entry_version,uniprot_sequence_version,uniprot_last_annotation_update_date,validation_status,validated_at_utc
0,P10275,NR3C4,AR,"[""Androgen receptor""]",Steroid hormone receptors,ANDR_HUMAN,AR,Androgen receptor,9606,reviewed,310,3,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
1,P03372,NR3A1,ERα,"[""Estrogen receptor""]",Steroid hormone receptors,ESR1_HUMAN,ESR1,Estrogen receptor,9606,reviewed,301,2,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
2,Q92731,NR3A2,ERβ,"[""Estrogen receptor beta""]",Steroid hormone receptors,ESR2_HUMAN,ESR2,Estrogen receptor beta,9606,reviewed,257,2,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
3,P04150,NR3C1,GR,"[""Glucocorticoid receptor""]",Steroid hormone receptors,GCR_HUMAN,NR3C1,Glucocorticoid receptor,9606,reviewed,295,1,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
4,P08235,NR3C2,MR,"[""Mineralocorticoid receptor""]",Steroid hormone receptors,MCR_HUMAN,NR3C2,Mineralocorticoid receptor,9606,reviewed,253,2,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
5,P06401,NR3C3,PR,"[""Progesterone receptor""]",Steroid hormone receptors,PRGR_HUMAN,PGR,Progesterone receptor,9606,reviewed,273,4,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
6,P10276,NR1B1,RARα,"[""Retinoic acid receptor alpha""]",Steroid hormone receptors,RARA_HUMAN,RARA,Retinoic acid receptor alpha,9606,reviewed,276,2,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
7,P10826,NR1B2,RARβ,"[""Retinoic acid receptor beta""]",Steroid hormone receptors,RARB_HUMAN,RARB,Retinoic acid receptor beta,9606,reviewed,265,2,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
8,P13631,NR1B3,RARγ,"[""Retinoic acid receptor gamma""]",Steroid hormone receptors,RARG_HUMAN,RARG,Retinoic acid receptor gamma,9606,reviewed,260,1,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
9,P10827,NR1A1,TRα,"[""Thyroid hormone receptor alpha""]",Steroid hormone receptors,THA_HUMAN,THRA,Thyroid hormone receptor alpha,9606,reviewed,264,1,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
10,P10828,NR1A2,TRβ,"[""Thyroid hormone receptor beta""]",Steroid hormone receptors,THB_HUMAN,THRB,Thyroid hormone receptor beta,9606,reviewed,267,2,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
11,P11473,NR1I1,VDR,"[""Vitamin D3 receptor"",""Vitamin D3 receptor A"",""Vitamin D receptor""]",Steroid hormone receptors,VDR_HUMAN,VDR,Vitamin D3 receptor,9606,reviewed,267,1,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
12,Q14994,NR1I3,CAR,"[""Nuclear receptor subfamily 1 group I member 3""]",Nutritional sensors,NR1I3_HUMAN,NR1I3,Nuclear receptor subfamily 1 group I member 3,9606,reviewed,228,2,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
13,P11474,NR3B1,ERRα,"[""Steroid hormone receptor ERR1""]",Nutritional sensors,ERR1_HUMAN,ESRRA,Steroid hormone receptor ERR1,9606,reviewed,249,3,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
14,O95718,NR3B2,ERRβ,"[""Steroid hormone receptor ERR2""]",Nutritional sensors,ERR2_HUMAN,ESRRB,Steroid hormone receptor ERR2,9606,reviewed,228,3,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
15,P62508,NR3B3,ERRγ,"[""Estrogen-related receptor gamma""]",Nutritional sensors,ERR3_HUMAN,ESRRG,Estrogen-related receptor gamma,9606,reviewed,211,1,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
16,Q96RI1,NR1H4,FXR,"[""Bile acid receptor""]",Nutritional sensors,NR1H4_HUMAN,NR1H4,Bile acid receptor,9606,reviewed,230,2,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
17,P41235,NR2A1,HNF4α,"[""Hepatocyte nuclear factor 4-alpha""]",Nutritional sensors,HNF4A_HUMAN,HNF4A,Hepatocyte nuclear factor 4-alpha,9606,reviewed,260,3,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
18,Q14541,NR2A2,HNF4γ,"[""Hepatocyte nuclear factor 4-gamma""]",Nutritional sensors,HNF4G_HUMAN,HNF4G,Hepatocyte nuclear factor 4-gamma,9606,reviewed,229,3,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
19,O00482,NR5A2,LRH-1,"[""Nuclear receptor subfamily 5 group A member 2""]",Nutritional sensors,NR5A2_HUMAN,NR5A2,Nuclear receptor subfamily 5 group A member 2,9606,reviewed,230,2,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
20,Q13133,NR1H3,LXRα,"[""Oxysterols receptor LXR-alpha""]",Nutritional sensors,NR1H3_HUMAN,NR1H3,Oxysterols receptor LXR-alpha,9606,reviewed,238,2,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
21,P55055,NR1H2,LXRβ,"[""OXYSTEROLS RECEPTOR LXR-BETA""]",Nutritional sensors,NR1H2_HUMAN,NR1H2,Oxysterols receptor LXR-beta,9606,reviewed,241,2,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
22,P22736,NR4A1,NUR77,"[""Nuclear receptor subfamily 4 group A member 1""]",Nutritional sensors,NR4A1_HUMAN,NR4A1,Nuclear receptor subfamily 4immunitygroup A member 1,9606,reviewed,245,1,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
23,P43354,NR4A2,NURR1,"[""Nuclear receptor subfamily 4 group A member 2""]",Nutritional sensors,NR4A2_HUMAN,NR4A2,Nuclear receptor subfamily 4 group A member 2,9606,reviewed,239,1,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
24,Q07869,NR1C1,PPARα,"[""Peroxisome proliferator-activated receptor alpha""]",Nutritional sensors,PPARA_HUMAN,PPARA,Peroxisome proliferator-activated receptor alpha,9606,reviewed,261,2,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
25,Q03181,NR1C2,PPARδ,"[""Peroxisome proliferator-activated receptor delta""]",Nutritional sensors,PPARD_HUMAN,PPARD,Peroxisome proliferator-activated receptor delta,9606,reviewed,262,1,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
26,P37231,NR1C3,PPARγ,"[""Peroxisome proliferator-activated receptor gamma""]",Nutritional sensors,PPARG_HUMAN,PPARG,Peroxisome proliferator-activated receptor gamma,9606,reviewed,292,3,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
27,O75469,NR1I2,PXR,"[""Nuclear receptor subfamily 1 group I member 2""]",Nutritional sensors,NR1I2_HUMAN,NR1I2,Nuclear receptor subfamily 1 group I member 2,9606,reviewed,244,1,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
28,P20393,NR1D1,Rev-erbα,"[""Nuclear receptor subfamily 1 group D member 1""]",Nutritional sensors,NR1D1_HUMAN,NR1D1,Nuclear receptor subfamily 1 group D member 1,9606,reviewed,247,1,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
29,Q14995,NR1D2,Rev-erbβ,"[""Nuclear receptor subfamily 1 group D member 2""]",Nutritional sensors,NR1D2_HUMAN,NR1D2,Nuclear receptor subfamily 1 group D member 2,9606,reviewed,215,4,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
30,P35398,NR1F1,RORα,"[""Nuclear receptor ROR-alpha""]",Nutritional sensors,RORA_HUMAN,RORA,Nuclear receptor ROR-alpha,9606,reviewed,235,2,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
31,Q92753,NR1F2,RORβ,"[""Nuclear receptor ROR-beta""]",Nutritional sensors,RORB_HUMAN,RORB,Nuclear receptor ROR-beta,9606,reviewed,208,3,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
32,P51449,NR1F3,RORγ,"[""Nuclear receptor ROR-gamma""]",Nutritional sensors,RORG_HUMAN,RORC,Nuclear receptor ROR-gamma,9606,reviewed,223,2,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
33,P19793,NR2B1,RXRα,"[""RETINOIC ACID RECEPTOR RXR-ALPHA""]",Nutritional sensors,RXRA_HUMAN,RXRA,Retinoic acid receptor RXR-alpha,9606,reviewed,263,1,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
34,P28702,NR2B2,RXRβ,"[""Retinoic acid receptor RXR-beta""]",Nutritional sensors,RXRB_HUMAN,RXRB,Retinoic acid receptor RXR-beta,9606,reviewed,251,2,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
35,P48443,NR2B3,RXRγ,"[""Retinoic acid receptor RXR-gamma""]",Nutritional sensors,RXRG_HUMAN,RXRG,Retinoic acid receptor RXR-gamma,9606,reviewed,228,1,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
36,Q13285,NR5A1,SF-1,"[""Steroidogenic factor 1""]",Nutritional sensors,STF1_HUMAN,NR5A1,Steroidogenic factor 1,9606,reviewed,250,2,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
37,P13056,NR2C1,TR2,"[""Nuclear receptor subfamily 2 group C member 1""]",Nutritional sensors,NR2C1_HUMAN,NR2C1,Nuclear receptor subfamily 2 group C member 1,9606,reviewed,225,2,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
38,P49116,NR2C2,TR4,"[""Nuclear receptor subfamily 2 group C member 2""]",Nutritional sensors,NR2C2_HUMAN,NR2C2,Nuclear receptor subfamily 2 group C member 2,9606,reviewed,220,1,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
39,P10589,NR2F1,COUP-TFI,"[""COUP transcription factor 1""]",Orphan receptors,COT1_HUMAN,NR2F1,COUP transcription factor 1,9606,reviewed,235,1,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
40,P24468,NR2F2,COUP-TFII,"[""COUP transcription factor 2""]",Orphan receptors,COT2_HUMAN,NR2F2,COUP transcription factor 2,9606,reviewed,228,1,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
41,P51843,NR0B1,DAX-1,"[""Nuclear receptor subfamily 0 group B member 1""]",Orphan receptors,NR0B1_HUMAN,NR0B1,Nuclear receptor subfamily 0 group B member 1,9606,reviewed,229,2,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
42,P10588,NR2F6,EAR-2,"[""Nuclear receptor subfamily 2 group F member 6""]",Orphan receptors,NR2F6_HUMAN,NR2F6,Nuclear receptor subfamily 2 group F member 6,9606,reviewed,234,2,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
43,Q15406,NR6A1,GCNF,"[""Nuclear receptor subfamily 6 group A member 1""]",Orphan receptors,NR6A1_HUMAN,NR6A1,Nuclear receptor subfamily 6 group A member 1,9606,reviewed,219,2,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
44,Q92570,NR4A3,NOR-1,"[""Nuclear receptor subfamily 4 group A member 3""]",Orphan receptors,NR4A3_HUMAN,NR4A3,Nuclear receptor subfamily 4 group A member 3,9606,reviewed,226,3,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
45,Q9Y5X4,NR2E3,PNR,"[""Photoreceptor-specific nuclear receptor""]",Orphan receptors,NR2E3_HUMAN,NR2E3,Photoreceptor-specific nuclear receptor,9606,reviewed,220,1,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
46,Q15466,NR0B2,SHP,"[""Nuclear receptor subfamily 0 group B member 2""]",Orphan receptors,NR0B2_HUMAN,NR0B2,Nuclear receptor subfamily 0 group B member 2,9606,reviewed,214,2,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
47,Q9Y466,NR2E1,TLX,"[""Nuclear receptor subfamily 2 group E member 1""]",Orphan receptors,NR2E1_HUMAN,NR2E1,Nuclear receptor subfamily 2 group E member 1,9606,reviewed,212,1,2026-09-02,PASS,2026-09-23T15:39:09.466469+00:00
