batch_number,number_requested,request_url,http_status,retrieved_at_utc,raw_response_file,raw_response_sha256,success,error_message
1,150,https://data.rcsb.org/graphql,200,2026-09-23T18:07:14.105126+00:00,data/raw/api/rcsb/instances/instances_batch_0001.json,379cb0b6963aeeae5e0ca13dd429ee045b642ddf9dbcc501d67e0fbeebfc1ea0,True,
2,150,https://data.rcsb.org/graphql,200,2026-09-23T18:07:15.937460+00:00,data/raw/api/rcsb/instances/instances_batch_0002.json,5a7dd3ecb02a4c60c2c27fd2c8c675f9b5b33f2bbbcb716e28bac9e2fa1ae89a,True,
3,150,https://data.rcsb.org/graphql,200,2026-09-23T18:07:17.358591+00:00,data/raw/api/rcsb/instances/instances_batch_0003.json,06ca5cef11d75ecbfb8442f1a54cbb830c2286ad3da1b5bf62d5ec03e26444a1,True,
4,150,https://data.rcsb.org/graphql,200,2026-09-23T18:07:19.076019+00:00,data/raw/api/rcsb/instances/instances_batch_0004.json,851e0e259d81b269dbbde1f0a8c0e10597a3fff0d01d93b18469c7cac6ee62c4,True,
5,150,https://data.rcsb.org/graphql,200,2026-09-23T18:07:23.039745+00:00,data/raw/api/rcsb/instances/instances_batch_0005.json,9ac96d4bd34ff8a24bd91bd384c32b1266dd3fb578c563174aa659835e48cc64,True,
6,150,https://data.rcsb.org/graphql,200,2026-09-23T18:07:24.957384+00:00,data/raw/api/rcsb/instances/instances_batch_0006.json,3e518661080cbff3ea9f15960d060e4c35e80fc4aef2dc0c7b30bd8cfb36e4e3,True,
7,150,https://data.rcsb.org/graphql,200,2026-09-23T18:07:27.105095+00:00,data/raw/api/rcsb/instances/instances_batch_0007.json,c3c3cfb47f0ff3edd514d34dc0762a48264cd96a276fc3789f713d39c6a52a40,True,
8,150,https://data.rcsb.org/graphql,200,2026-09-23T18:07:29.788647+00:00,data/raw/api/rcsb/instances/instances_batch_0008.json,20692bfffaabb2146c85516e76c208f9e7bb7763bcdf5989893e474bd4bb3f50,True,
9,150,https://data.rcsb.org/graphql,200,2026-09-23T18:07:31.687942+00:00,data/raw/api/rcsb/instances/instances_batch_0009.json,b71eecf6f8df934cdd88f0a94f5ebf7a64c7959fb79e38cdcaf21dc487a10546,True,
10,150,https://data.rcsb.org/graphql,200,2026-09-23T18:07:33.329579+00:00,data/raw/api/rcsb/instances/instances_batch_0010.json,485c41feac2afb3e8bb876a976de48bbef6f45436cd24ffdec9cbd7c8bfccf35,True,
11,150,https://data.rcsb.org/graphql,200,2026-09-23T18:07:34.863361+00:00,data/raw/api/rcsb/instances/instances_batch_0011.json,6ca7e2ae2fbe96245a19796e3db07ddf22326da19061c542e07674ff8fcc86c5,True,
12,150,https://data.rcsb.org/graphql,200,2026-09-23T18:07:39.856835+00:00,data/raw/api/rcsb/instances/instances_batch_0012.json,7d218b7330014d61bb2a3155ba1595037af8472ae076cef33b19d5063f7ef607,True,
13,150,https://data.rcsb.org/graphql,200,2026-09-23T18:07:44.133548+00:00,data/raw/api/rcsb/instances/instances_batch_0013.json,0bae96a80c3dda2f4bc5ec38de3256828b298d59a759f0e022830a7fef52c19b,True,
14,122,https://data.rcsb.org/graphql,200,2026-09-23T18:07:47.823432+00:00,data/raw/api/rcsb/instances/instances_batch_0014.json,c3132b0d652a34f6c5441f653eb874e05ff295476a34ca156e97c4b48bcf4265,True,
