record_index,uniprot_id,nr_code,common_name,group,request_url,request_method,query_return_type,experimental_only,http_status,retrieved_at_utc,result_count_reported,result_count_parsed,raw_response_file,raw_response_sha256,success,error_message
0,P10275,NR3C4,AR,Steroid hormone receptors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,200,2026-09-23T16:40:36.870535+00:00,102,102,data/raw/api/rcsb/search/P10275.json,7b25d46a18fdc4d2d3a071ec5816c593a1c71229fca18777ce5ccc7ba987c995,True,
1,P03372,NR3A1,ERα,Steroid hormone receptors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,200,2026-09-23T16:40:37.689933+00:00,517,517,data/raw/api/rcsb/search/P03372.json,a6e187116ab266b981df6768ab4d60f4faf5c0478f83c10123e700646675f36f,True,
2,Q92731,NR3A2,ERβ,Steroid hormone receptors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,200,2026-09-23T16:40:40.419519+00:00,39,39,data/raw/api/rcsb/search/Q92731.json,964c1f96c0d950fcc002db56116918f2d07303154e9173882082b5e85d87654e,True,
3,P04150,NR3C1,GR,Steroid hormone receptors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,200,2026-09-23T16:40:44.097000+00:00,57,57,data/raw/api/rcsb/search/P04150.json,c85e4dd862a5d5f06ca3f36a3f3341b5e9971f85d9c71890482df12585a010f8,True,
4,P08235,NR3C2,MR,Steroid hormone receptors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,200,2026-09-23T16:40:47.167536+00:00,30,30,data/raw/api/rcsb/search/P08235.json,d80de4a50afdfb3bbdc158197e5bcc7bde89110b99028b9f6e379f758f780bac,True,
5,P06401,NR3C3,PR,Steroid hormone receptors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,200,2026-09-23T16:40:49.031049+00:00,21,21,data/raw/api/rcsb/search/P06401.json,a97aa0a586935e229dc7a0d6fb8b2175d8cfd5871c203dc0d12f4b5d81ac778d,True,
6,P10276,NR1B1,RARα,Steroid hormone receptors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,200,2026-09-23T16:40:51.599335+00:00,14,14,data/raw/api/rcsb/search/P10276.json,121119c71ad639fc2c95c81180b6a7c7dba18f7eb64aa291d16da0e7aa0d1a58,True,
7,P10826,NR1B2,RARβ,Steroid hormone receptors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,200,2026-09-23T16:40:52.557055+00:00,9,9,data/raw/api/rcsb/search/P10826.json,0d5aed273ec631b1170949e57e77ace6e3c3432d41ef2aecde636cc882a5c676,True,
8,P13631,NR1B3,RARγ,Steroid hormone receptors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,200,2026-09-23T16:40:54.038915+00:00,11,11,data/raw/api/rcsb/search/P13631.json,5160749f4bdebde595f7a89576252f8e1e51706fb8701a0eee456d4b91130bde,True,
9,P10827,NR1A1,TRα,Steroid hormone receptors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,200,2026-09-23T16:40:54.860592+00:00,10,10,data/raw/api/rcsb/search/P10827.json,eb381b630b5325fc875b8b177f5fb2fb85851ef10c245a1e677d437a67e05976,True,
