requested_accession,resolved_primary_accession,request_url,http_status,retrieved_at_utc,raw_file,sha256,success,error_message
P10275,P10275,https://rest.uniprot.org/uniprotkb/P10275.json,200,2026-09-23T14:43:42.511832+00:00,data/raw/api/uniprot/P10275.json,b143ed1efcd53c7b90207322a08076296a275a73bacada3122dc3282e7b1d4c0,True,
P03372,P03372,https://rest.uniprot.org/uniprotkb/P03372.json,200,2026-09-23T14:43:43.328357+00:00,data/raw/api/uniprot/P03372.json,68f4197784a6f91cf181810b955ea8d47b2ccb611f5259341dcdc114ee98d1a9,True,
Q92731,Q92731,https://rest.uniprot.org/uniprotkb/Q92731.json,200,2026-09-23T14:43:44.247306+00:00,data/raw/api/uniprot/Q92731.json,52018f4fbd2893e0b7514974d318ac82d453c7235be20bd2865c323d0f34eebf,True,
P04150,P04150,https://rest.uniprot.org/uniprotkb/P04150.json,200,2026-09-23T14:43:45.308787+00:00,data/raw/api/uniprot/P04150.json,9a9e542fc66f2527803f6358b79a4a485cb53c4302433f9682d109ff09df89b9,True,
P08235,P08235,https://rest.uniprot.org/uniprotkb/P08235.json,200,2026-09-23T14:43:46.269667+00:00,data/raw/api/uniprot/P08235.json,a7930cfe6af421458bf8c997fe8fe42921dda145117169d5123d23fb6e2fae28,True,
P06401,P06401,https://rest.uniprot.org/uniprotkb/P06401.json,200,2026-09-23T14:43:47.286056+00:00,data/raw/api/uniprot/P06401.json,00db03fed09d38ad35403abe2eb880b0bc81aeb7196ae249fdaf8e68411415f5,True,
P10276,P10276,https://rest.uniprot.org/uniprotkb/P10276.json,200,2026-09-23T14:43:48.408486+00:00,data/raw/api/uniprot/P10276.json,5387b2d1baf5e20298b1a80fbaa65709e9820107fb27f37ca1fd376be5852f02,True,
P10826,P10826,https://rest.uniprot.org/uniprotkb/P10826.json,200,2026-09-23T14:43:49.374963+00:00,data/raw/api/uniprot/P10826.json,1db1aa6ce71c2adc215de34b6ab1c67cb61ef458c9653ec4dafe9722e3c9ab80,True,
P13631,P13631,https://rest.uniprot.org/uniprotkb/P13631.json,200,2026-09-23T14:43:50.287510+00:00,data/raw/api/uniprot/P13631.json,f6633d69cf6cfbac449718396513e513558f09892a748aa146a599b9fb5cb580,True,
P10827,P10827,https://rest.uniprot.org/uniprotkb/P10827.json,200,2026-09-23T14:43:51.383640+00:00,data/raw/api/uniprot/P10827.json,acf42d51418e3c06a533e3e5ad04b5b47ee353d82f46c181906c39aa6849c3ff,True,
P10828,P10828,https://rest.uniprot.org/uniprotkb/P10828.json,200,2026-09-23T14:43:52.440794+00:00,data/raw/api/uniprot/P10828.json,2de64a764937cd6c591e713c0a7dda249a4708888011aee6e37c58163df3e1fb,True,
P11473,P11473,https://rest.uniprot.org/uniprotkb/P11473.json,200,2026-09-23T14:43:53.445774+00:00,data/raw/api/uniprot/P11473.json,12e83ea2e30c251ad29644259b6ba956a3922f3f5b6936dd6157fa37d780d133,True,
Q14994,Q14994,https://rest.uniprot.org/uniprotkb/Q14994.json,200,2026-09-23T14:43:54.323833+00:00,data/raw/api/uniprot/Q14994.json,1bada39caa43b17840e730a386fde373b5f13800104557b5ece6c7687ad8b307,True,
P11474,P11474,https://rest.uniprot.org/uniprotkb/P11474.json,200,2026-09-23T14:43:55.386818+00:00,data/raw/api/uniprot/P11474.json,88408777d40f2719042e4de90dded4f8cd5345637414e9ac2b52bf86e50539e1,True,
O95718,O95718,https://rest.uniprot.org/uniprotkb/O95718.json,200,2026-09-23T14:43:56.299237+00:00,data/raw/api/uniprot/O95718.json,9d29511bfd52c7c7b127686bba6ee7205403053299354942726364347b32a469,True,
