common_name,nr_code,uniprot_id,instances_ge_100pct,candidates_ge_100pct,instances_ge_99pct,candidates_ge_99pct,instances_ge_95pct,candidates_ge_95pct,instances_ge_90pct,candidates_ge_90pct,instances_ge_80pct,candidates_ge_80pct
AR,NR3C4,P10275,3,2,23,21,89,87,95,93,95,93
ERα,NR3A1,P03372,32,28,68,57,425,268,711,361,785,374
ERβ,NR3A2,Q92731,0,0,1,1,43,26,85,39,86,39
GR,NR3C1,P04150,6,2,12,5,44,27,51,29,52,29
MR,NR3C2,P08235,0,0,6,4,17,13,34,26,44,28
PR,NR3C3,P06401,0,0,0,0,34,18,35,19,35,19
RARα,NR1B1,P10276,0,0,9,8,13,11,15,12,15,12
RARβ,NR1B2,P10826,0,0,12,7,14,8,14,8,14,8
RARγ,NR1B3,P13631,1,1,11,11,11,11,11,11,11,11
TRα,NR1A1,P10827,0,0,0,0,0,0,0,0,10,10
TRβ,NR1A2,P10828,0,0,3,3,22,17,37,32,38,33
VDR,NR1I1,P11473,0,0,0,0,0,0,0,0,48,48
CAR,NR1I3,Q14994,0,0,0,0,4,2,4,2,4,2
ERRα,NR3B1,P11474,0,0,0,0,0,0,8,5,8,5
ERRβ,NR3B2,O95718,0,0,0,0,1,1,1,1,3,2
ERRγ,NR3B3,P62508,12,11,35,26,45,30,52,32,53,32
FXR,NR1H4,Q96RI1,64,41,94,56,134,86,144,91,144,91
HNF4α,NR2A1,P41235,0,0,1,1,6,4,13,6,29,7
HNF4γ,NR2A2,Q14541,0,0,0,0,1,1,1,1,1,1
LRH-1,NR5A2,O00482,6,5,16,13,30,23,33,25,33,25
LXRα,NR1H3,Q13133,0,0,0,0,2,1,11,7,11,7
LXRβ,NR1H2,P55055,2,2,7,7,40,20,59,24,63,25
NUR77,NR4A1,P22736,0,0,2,2,38,21,44,21,44,21
NURR1,NR4A2,P43354,0,0,0,0,11,6,21,8,21,8
PPARα,NR1C1,Q07869,60,44,62,46,101,77,102,78,106,79
PPARδ,NR1C2,Q03181,38,20,40,21,100,54,104,55,105,55
PPARγ,NR1C3,P37231,69,53,77,61,445,309,619,378,643,382
PXR,NR1I2,O75469,0,0,0,0,12,9,96,68,117,80
Rev-erbα,NR1D1,P20393,0,0,0,0,0,0,0,0,0,0
Rev-erbβ,NR1D2,Q14995,0,0,0,0,0,0,6,4,11,6
RORα,NR1F1,P35398,4,3,4,3,4,3,4,3,4,3
RORβ,NR1F2,Q92753,0,0,0,0,0,0,0,0,0,0
RORγ,NR1F3,P51449,28,14,130,101,140,109,234,152,266,162
RXRα,NR2B1,P19793,13,7,13,7,28,14,114,79,152,94
RXRβ,NR2B2,P28702,0,0,0,0,0,0,2,2,14,7
RXRγ,NR2B3,P48443,0,0,0,0,0,0,2,1,6,2
SF-1,NR5A1,Q13285,3,3,3,3,8,6,8,6,8,6
TR2,NR2C1,P13056,0,0,0,0,0,0,0,0,0,0
TR4,NR2C2,P49116,0,0,0,0,0,0,1,1,3,2
COUP-TFI,NR2F1,P10589,0,0,0,0,0,0,0,0,0,0
COUP-TFII,NR2F2,P24468,0,0,0,0,0,0,0,0,1,1
DAX-1,NR0B1,P51843,0,0,0,0,0,0,0,0,0,0
EAR-2,NR2F6,P10588,0,0,0,0,0,0,0,0,2,1
GCNF,NR6A1,Q15406,0,0,0,0,0,0,0,0,0,0
NOR-1,NR4A3,Q92570,0,0,0,0,0,0,0,0,0,0
PNR,NR2E3,Q9Y5X4,0,0,0,0,0,0,0,0,0,0
SHP,NR0B2,Q15466,0,0,0,0,0,0,0,0,0,0
TLX,NR2E1,Q9Y466,0,0,0,0,0,0,0,0,4,1
