uniprot_id,nr_code,common_name,feature_name,feature_type,feature_start,feature_end,source,source_identifier,within_standardized_lbd,extends_outside_standardized_lbd,notes
P06401,NR3C3,PR,LXXL motif 1,Motif,55,59,UniProt (PubMed),PubMed:11546784,False,True,
P06401,NR3C3,PR,LXXL motif 2,Motif,115,119,UniProt (PubMed),PubMed:11546784,False,True,
P06401,NR3C3,PR,Nuclear localization signal,Motif,183,187,UniProt (UniProt),?:?,False,True,
P10276,NR1B1,RARα,UBR5-degron,Motif,254,258,UniProt (PubMed),PubMed:37478846,True,False,
P10276,NR1B1,RARα,9aaTAD,Motif,408,416,UniProt (PubMed),PubMed:30468856,True,False,
P11473,NR1I1,VDR,9aaTAD,Motif,416,424,UniProt (PubMed),PubMed:30468856,False,True,
P11473,NR1I1,VDR,Terminal helix (commonly referred to as H12 in NR literature; UniProt does not itself apply this label),Helix,416,422,UniProt (PDB),PDB:3B0T,True,False,Preserved per Stage 3A.2 Section 6 (functional-feature separation) so this region is not lost from downstream functional analysis even though the standardized LBD interval (127-423) already fully contains it.
P41235,NR2A1,HNF4α,9aaTAD,Motif,368,376,UniProt (PubMed),PubMed:30468856,True,False,
O00482,NR5A2,LRH-1,FTZ-F1 box,Motif,168,187,UniProt (PubMed),PubMed:38409506,False,True,
P43354,NR4A2,NURR1,Bipartite nuclear localization signal (NLS1),Motif,287,314,UniProt (UniProt),,False,True,
P43354,NR4A2,NURR1,Nuclear localization signal (NLS1),Motif,338,350,UniProt (PubMed),PubMed:23283970,False,True,
P43354,NR4A2,NURR1,nuclear export sequence (NES1),Motif,443,452,UniProt (UniProt),,True,False,
P43354,NR4A2,NURR1,nuclear export sequence (NES2),Motif,568,577,UniProt (UniProt),,True,False,
P37231,NR1C3,PPARγ,9aaTAD,Motif,495,503,UniProt (PubMed),PubMed:30468856,True,False,
O75469,NR1I2,PXR,Bipartite nuclear localization signal,Motif,66,92,UniProt (UniProt),,False,True,
P35398,NR1F1,RORα,AF-2,Motif,506,523,UniProt (UniProt),,False,True,
Q92753,NR1F2,RORβ,AF-2,Motif,456,461,UniProt (UniProt),,False,True,
P51449,NR1F3,RORγ,AF-2,Motif,501,506,UniProt (UniProt),,True,False,
P51843,NR0B1,DAX-1,LXXLL motif 1,Motif,13,17,UniProt (UniProt),,False,True,
P51843,NR0B1,DAX-1,LXXLL motif 2,Motif,80,84,UniProt (UniProt),,False,True,
P51843,NR0B1,DAX-1,LXXLL motif 3,Motif,146,150,UniProt (UniProt),,False,True,
P51843,NR0B1,DAX-1,AF-2 motif,Motif,461,466,UniProt (UniProt),,True,False,
