uniprot_id,nr_code,common_name,pdb_id,polymer_entity_id,mapped_length,reference_coverage,mapping_overlaps_lbd,lbd_mapping_coverage,mapping_overlaps_dbd,dbd_mapping_coverage,lbd_mapping_category,entity_description
P03372,NR3A1,ERα,8BYZ,8BYZ_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8BXS,8BXS_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8BY9,8BY9_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8BYB,8BYB_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8BYC,8BYC_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8BYD,8BYD_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8BYE,8BYE_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8BYF,8BYF_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,PHE-PRO-ALA-TPO-VAL
P03372,NR3A1,ERα,8BYG,8BYG_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8BYO,8BYO_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8BYY,8BYY_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,9I6S,9I6S_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8BZ0,8BZ0_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8BXQ,8BXQ_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8BZ9,8BZ9_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8BZB,8BZB_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8BZC,8BZC_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8BZD,8BZD_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8BZE,8BZE_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8BZF,8BZF_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8BZG,8BZG_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8BZH,8BZH_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8BZT,8BZT_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8C04,8C04_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8C0K,8C0K_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8C0L,8C0L_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8C4F,8C4F_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8BZA,8BZA_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8C4G,8C4G_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8BXO,8BXO_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8BXM,8BXM_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8ARW,8ARW_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8ARX,8ARX_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8ARY,8ARY_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8ARZ,8ARZ_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8AS1,8AS1_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8AT9,8AT9_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8ATP,8ATP_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8AU2,8AU2_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8AUS,8AUS_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8AUY,8AUY_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8AV3,8AV3_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8AV4,8AV4_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8BXN,8BXN_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8AV7,8AV7_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8AWG,8AWG_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8AXE,8AXE_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8AXU,8AXU_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8AZE,8AZE_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8B39,8B39_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8BWJ,8BWJ_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8BWX,8BWX_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8BWZ,8BWZ_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8BX0,8BX0_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8BX3,8BX3_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8BX4,8BX4_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8BXI,8BXI_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,ERalpha peptide
P03372,NR3A1,ERα,8AV8,8AV8_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8ARR,8ARR_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8ARQ,8ARQ_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,9I74,9I74_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8AOY,8AOY_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8AQ1,8AQ1_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8AQC,8AQC_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8AQE,8AQE_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8ANF,8ANF_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8AM7,8AM7_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8ALW,8ALW_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8ALV,8ALV_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8ALT,8ALT_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8ALR,8ALR_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8AQZ,8AQZ_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8AI0,8AI0_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8AFN,8AFN_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8AR4,8AR4_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,9I75,9I75_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,8APS,8APS_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
P03372,NR3A1,ERα,9I6Z,9I6Z_2,5,0.008403,False,0.0,False,0.0,NO_LBD_OVERLAP,Estrogen receptor
