pdb_id,polymer_entity_id,entity_id,instance_id,label_asym_id,auth_asym_id,instance_metadata_status,instance_metadata_notes
11SD,11SD_2,2,11SD.D,D,Y,PASS,
11SD,11SD_2,2,11SD.C,C,X,PASS,
11SE,11SE_2,2,11SE.D,D,Y,PASS,
11SE,11SE_2,2,11SE.C,C,X,PASS,
11SF,11SF_2,2,11SF.D,D,Y,PASS,
11SF,11SF_2,2,11SF.C,C,X,PASS,
11SG,11SG_2,2,11SG.D,D,Y,PASS,
11SG,11SG_2,2,11SG.C,C,X,PASS,
11SH,11SH_2,2,11SH.D,D,Y,PASS,
11SH,11SH_2,2,11SH.C,C,X,PASS,
11SI,11SI_2,2,11SI.D,D,Y,PASS,
11SI,11SI_2,2,11SI.C,C,X,PASS,
11SJ,11SJ_2,2,11SJ.D,D,Y,PASS,
11SJ,11SJ_2,2,11SJ.C,C,X,PASS,
11ZU,11ZU_2,2,11ZU.D,D,Y,PASS,
11ZU,11ZU_2,2,11ZU.C,C,X,PASS,
1A28,1A28_1,1,1A28.B,B,B,PASS,
1A28,1A28_1,1,1A28.A,A,A,PASS,
1A52,1A52_1,1,1A52.B,B,B,PASS,
1A52,1A52_1,1,1A52.A,A,A,PASS,
1A6Y,1A6Y_3,3,1A6Y.C,C,A,PASS,
1A6Y,1A6Y_3,3,1A6Y.D,D,B,PASS,
1BSX,1BSX_1,1,1BSX.C,C,B,PASS,
1BSX,1BSX_1,1,1BSX.A,A,A,PASS,
1BY4,1BY4_3,3,1BY4.E,E,A,PASS,
1BY4,1BY4_3,3,1BY4.F,F,B,PASS,
1BY4,1BY4_3,3,1BY4.G,G,C,PASS,
1BY4,1BY4_3,3,1BY4.H,H,D,PASS,
1DB1,1DB1_1,1,1DB1.A,A,A,PASS,
1DKF,1DKF_2,2,1DKF.B,B,B,PASS,
1DSZ,1DSZ_3,3,1DSZ.C,C,A,PASS,
1DSZ,1DSZ_4,4,1DSZ.D,D,B,PASS,
1E3G,1E3G_1,1,1E3G.A,A,A,PASS,
1E3K,1E3K_1,1,1E3K.B,B,B,PASS,
1E3K,1E3K_1,1,1E3K.A,A,A,PASS,
1ERE,1ERE_1,1,1ERE.F,F,F,PASS,
1ERE,1ERE_1,1,1ERE.E,E,E,PASS,
1ERE,1ERE_1,1,1ERE.D,D,D,PASS,
1ERE,1ERE_1,1,1ERE.C,C,C,PASS,
1ERE,1ERE_1,1,1ERE.B,B,B,PASS,
1ERE,1ERE_1,1,1ERE.A,A,A,PASS,
1ERR,1ERR_1,1,1ERR.B,B,B,PASS,
1ERR,1ERR_1,1,1ERR.A,A,A,PASS,
1EXA,1EXA_1,1,1EXA.A,A,A,PASS,
1EXX,1EXX_1,1,1EXX.A,A,A,PASS,
1FBY,1FBY_1,1,1FBY.B,B,B,PASS,
1FBY,1FBY_1,1,1FBY.A,A,A,PASS,
1FCX,1FCX_1,1,1FCX.A,A,A,PASS,
1FCY,1FCY_1,1,1FCY.A,A,A,PASS,
1FCZ,1FCZ_1,1,1FCZ.A,A,A,PASS,
1FD0,1FD0_1,1,1FD0.A,A,A,PASS,
1FM6,1FM6_1,1,1FM6.C,C,U,PASS,
1FM6,1FM6_1,1,1FM6.A,A,A,PASS,
