record_index,professor_uniprot_id,professor_nr_code,professor_common_name,professor_group,professor_search_terms,requested_accession,resolved_primary_accession,uniprot_entry_name,reviewed_status,organism_scientific_name,organism_taxon_id,recommended_protein_name,primary_gene_name,gene_synonyms,sequence_length,sequence_version,entry_version,first_public_date,last_sequence_update_date,last_annotation_update_date,http_status,retrieved_at_utc,primary_accession_matches_professor,organism_is_homo_sapiens,organism_taxon_is_9606,entry_is_reviewed,naming_overlap_found,nomenclature_check,audit_status,audit_reason
0,P10275,NR3C4,AR,Steroid hormone receptors,"[""Androgen receptor""]",P10275,P10275,ANDR_HUMAN,reviewed,Homo sapiens,9606,Androgen receptor,AR,DHTR;NR3C4,920,3,310,1989-07-01,2016-03-16,2026-09-02,200,2026-09-23T14:43:42.511832+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
1,P03372,NR3A1,ERα,Steroid hormone receptors,"[""Estrogen receptor""]",P03372,P03372,ESR1_HUMAN,reviewed,Homo sapiens,9606,Estrogen receptor,ESR1,ESR;NR3A1,595,2,301,1986-07-21,1994-06-01,2026-09-02,200,2026-09-23T14:43:43.328357+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
2,Q92731,NR3A2,ERβ,Steroid hormone receptors,"[""Estrogen receptor beta""]",Q92731,Q92731,ESR2_HUMAN,reviewed,Homo sapiens,9606,Estrogen receptor beta,ESR2,ESTRB;NR3A2,530,2,257,1999-07-15,1999-07-15,2026-09-02,200,2026-09-23T14:43:44.247306+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
3,P04150,NR3C1,GR,Steroid hormone receptors,"[""Glucocorticoid receptor""]",P04150,P04150,GCR_HUMAN,reviewed,Homo sapiens,9606,Glucocorticoid receptor,NR3C1,GRL,777,1,295,1986-11-01,1986-11-01,2026-09-02,200,2026-09-23T14:43:45.308787+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
4,P08235,NR3C2,MR,Steroid hormone receptors,"[""Mineralocorticoid receptor""]",P08235,P08235,MCR_HUMAN,reviewed,Homo sapiens,9606,Mineralocorticoid receptor,NR3C2,MCR;MLR,984,2,253,1988-08-01,2018-09-12,2026-09-02,200,2026-09-23T14:43:46.269667+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
5,P06401,NR3C3,PR,Steroid hormone receptors,"[""Progesterone receptor""]",P06401,P06401,PRGR_HUMAN,reviewed,Homo sapiens,9606,Progesterone receptor,PGR,NR3C3,933,4,273,1988-01-01,2006-03-21,2026-09-02,200,2026-09-23T14:43:47.286056+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
6,P10276,NR1B1,RARα,Steroid hormone receptors,"[""Retinoic acid receptor alpha""]",P10276,P10276,RARA_HUMAN,reviewed,Homo sapiens,9606,Retinoic acid receptor alpha,RARA,NR1B1,462,2,276,1989-07-01,1989-10-01,2026-09-02,200,2026-09-23T14:43:48.408486+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
7,P10826,NR1B2,RARβ,Steroid hormone receptors,"[""Retinoic acid receptor beta""]",P10826,P10826,RARB_HUMAN,reviewed,Homo sapiens,9606,Retinoic acid receptor beta,RARB,HAP;NR1B2,455,2,265,1989-07-01,2001-11-16,2026-09-02,200,2026-09-23T14:43:49.374963+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
8,P13631,NR1B3,RARγ,Steroid hormone receptors,"[""Retinoic acid receptor gamma""]",P13631,P13631,RARG_HUMAN,reviewed,Homo sapiens,9606,Retinoic acid receptor gamma,RARG,NR1B3,454,1,260,1990-01-01,1990-01-01,2026-09-02,200,2026-09-23T14:43:50.287510+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
9,P10827,NR1A1,TRα,Steroid hormone receptors,"[""Thyroid hormone receptor alpha""]",P10827,P10827,THA_HUMAN,reviewed,Homo sapiens,9606,Thyroid hormone receptor alpha,THRA,EAR7;ERBA1;NR1A1;THRA1;THRA2,490,1,264,1989-07-01,1989-07-01,2026-09-02,200,2026-09-23T14:43:51.383640+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
10,P10828,NR1A2,TRβ,Steroid hormone receptors,"[""Thyroid hormone receptor beta""]",P10828,P10828,THB_HUMAN,reviewed,Homo sapiens,9606,Thyroid hormone receptor beta,THRB,ERBA2;NR1A2;THR1,461,2,267,1989-07-01,1994-10-01,2026-09-02,200,2026-09-23T14:43:52.440794+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
11,P11473,NR1I1,VDR,Steroid hormone receptors,"[""Vitamin D3 receptor"",""Vitamin D3 receptor A"",""Vitamin D receptor""]",P11473,P11473,VDR_HUMAN,reviewed,Homo sapiens,9606,Vitamin D3 receptor,VDR,NR1I1,427,1,267,1989-10-01,1989-10-01,2026-09-02,200,2026-09-23T14:43:53.445774+00:00,True,True,True,True,True,NOT_AUTOMATED,PASS,
