uniprot_id,nr_code,common_name,pdb_id,polymer_entity_id,instance_id,label_asym_id,model_num,record_present_lbd_residues,positive_occupancy_lbd_residues,record_present_full_lbd_coverage,observed_full_lbd_ca_coverage,zero_occupancy_only_lbd_residues,record_complete,positive_occupancy_complete,coverage_bin_before,coverage_bin_after,difference
Q92731,NR3A2,ERβ,1QKM,1QKM_1,1QKM.A,A,1,224,223,0.953191,0.948936,1,False,False,"[0.95,0.99)","[0.90,0.95)",0.004255
P11473,NR1I1,VDR,1S0Z,1S0Z_1,1S0Z.A,A,1,246,243,0.828283,0.818182,3,False,False,"[0.80,0.90)","[0.80,0.90)",0.010101
P11473,NR1I1,VDR,1S19,1S19_1,1S19.A,A,1,246,243,0.828283,0.818182,3,False,False,"[0.80,0.90)","[0.80,0.90)",0.010101
P11473,NR1I1,VDR,1TXI,1TXI_1,1TXI.A,A,1,246,243,0.828283,0.818182,3,False,False,"[0.80,0.90)","[0.80,0.90)",0.010101
P11473,NR1I1,VDR,2HB8,2HB8_1,2HB8.A,A,1,246,243,0.828283,0.818182,3,False,False,"[0.80,0.90)","[0.80,0.90)",0.010101
P37231,NR1C3,PPARγ,2I4J,2I4J_1,2I4J.B,B,1,266,255,1.0,0.958647,11,True,False,1.000,"[0.95,0.99)",0.041353
P37231,NR1C3,PPARγ,2I4J,2I4J_1,2I4J.A,A,1,266,257,1.0,0.966165,9,True,False,1.000,"[0.95,0.99)",0.033835
P37231,NR1C3,PPARγ,2I4P,2I4P_1,2I4P.B,B,1,266,255,1.0,0.958647,11,True,False,1.000,"[0.95,0.99)",0.041353
P37231,NR1C3,PPARγ,2I4P,2I4P_1,2I4P.A,A,1,266,257,1.0,0.966165,9,True,False,1.000,"[0.95,0.99)",0.033835
P37231,NR1C3,PPARγ,2I4Z,2I4Z_1,2I4Z.B,B,1,266,255,1.0,0.958647,11,True,False,1.000,"[0.95,0.99)",0.041353
P37231,NR1C3,PPARγ,2I4Z,2I4Z_1,2I4Z.A,A,1,266,257,1.0,0.966165,9,True,False,1.000,"[0.95,0.99)",0.033835
P37231,NR1C3,PPARγ,3B3K,3B3K_1,3B3K.B,B,1,266,253,1.0,0.951128,13,True,False,1.000,"[0.95,0.99)",0.048872
P37231,NR1C3,PPARγ,3B3K,3B3K_1,3B3K.A,A,1,266,253,1.0,0.951128,13,True,False,1.000,"[0.95,0.99)",0.048872
P37231,NR1C3,PPARγ,3CDP,3CDP_1,3CDP.B,B,1,266,253,1.0,0.951128,13,True,False,1.000,"[0.95,0.99)",0.048872
P37231,NR1C3,PPARγ,3CDP,3CDP_1,3CDP.A,A,1,266,253,1.0,0.951128,13,True,False,1.000,"[0.95,0.99)",0.048872
P37231,NR1C3,PPARγ,3CDS,3CDS_1,3CDS.B,B,1,266,253,1.0,0.951128,13,True,False,1.000,"[0.95,0.99)",0.048872
P37231,NR1C3,PPARγ,3CDS,3CDS_1,3CDS.A,A,1,266,253,1.0,0.951128,13,True,False,1.000,"[0.95,0.99)",0.048872
P37231,NR1C3,PPARγ,3D6D,3D6D_1,3D6D.B,B,1,266,253,1.0,0.951128,13,True,False,1.000,"[0.95,0.99)",0.048872
P37231,NR1C3,PPARγ,3D6D,3D6D_1,3D6D.A,A,1,266,253,1.0,0.951128,13,True,False,1.000,"[0.95,0.99)",0.048872
P37231,NR1C3,PPARγ,3HO0,3HO0_1,3HO0.B,B,1,266,253,1.0,0.951128,13,True,False,1.000,"[0.95,0.99)",0.048872
P37231,NR1C3,PPARγ,3HO0,3HO0_1,3HO0.A,A,1,266,253,1.0,0.951128,13,True,False,1.000,"[0.95,0.99)",0.048872
P37231,NR1C3,PPARγ,3HOD,3HOD_1,3HOD.B,B,1,266,253,1.0,0.951128,13,True,False,1.000,"[0.95,0.99)",0.048872
P37231,NR1C3,PPARγ,3HOD,3HOD_1,3HOD.A,A,1,266,253,1.0,0.951128,13,True,False,1.000,"[0.95,0.99)",0.048872
P10827,NR1A1,TRα,3ILZ,3ILZ_1,3ILZ.A,A,1,208,206,0.84898,0.840816,2,False,False,"[0.80,0.90)","[0.80,0.90)",0.008164
P10827,NR1A1,TRα,3JZB,3JZB_1,3JZB.A,A,1,208,206,0.84898,0.840816,2,False,False,"[0.80,0.90)","[0.80,0.90)",0.008164
P11473,NR1I1,VDR,3KPZ,3KPZ_1,3KPZ.A,A,1,246,243,0.828283,0.818182,3,False,False,"[0.80,0.90)","[0.80,0.90)",0.010101
P11473,NR1I1,VDR,3M7R,3M7R_1,3M7R.A,A,1,246,243,0.828283,0.818182,3,False,False,"[0.80,0.90)","[0.80,0.90)",0.010101
P37231,NR1C3,PPARγ,3R8I,3R8I_1,3R8I.B,B,1,266,245,1.0,0.921053,21,True,False,1.000,"[0.90,0.95)",0.078947
P10826,NR1B2,RARβ,4DM8,4DM8_1,4DM8.A,A,1,231,228,0.982979,0.970213,3,False,False,"[0.95,0.99)","[0.95,0.99)",0.012766
P37231,NR1C3,PPARγ,4E4K,4E4K_1,4E4K.B,B,1,265,262,0.996241,0.984962,3,False,False,"[0.99,1.00)","[0.95,0.99)",0.011279
P37231,NR1C3,PPARγ,4E4Q,4E4Q_1,4E4Q.B,B,1,265,262,0.996241,0.984962,3,False,False,"[0.99,1.00)","[0.95,0.99)",0.011279
P11473,NR1I1,VDR,4G2I,4G2I_1,4G2I.A,A,1,246,243,0.828283,0.818182,3,False,False,"[0.80,0.90)","[0.80,0.90)",0.010101
P37231,NR1C3,PPARγ,4JAZ,4JAZ_1,4JAZ.B,B,1,264,261,0.992481,0.981203,3,False,False,"[0.99,1.00)","[0.95,0.99)",0.011278
P37231,NR1C3,PPARγ,4JL4,4JL4_1,4JL4.B,B,1,264,261,0.992481,0.981203,3,False,False,"[0.99,1.00)","[0.95,0.99)",0.011278
P37231,NR1C3,PPARγ,4PWL,4PWL_1,4PWL.B,B,1,249,247,0.93609,0.928571,2,False,False,"[0.90,0.95)","[0.90,0.95)",0.007519
P03372,NR3A1,ERα,5UFX,5UFX_1,5UFX.A,A,1,232,231,0.978903,0.974684,1,False,False,"[0.95,0.99)","[0.95,0.99)",0.004219
