uniprot_id,common_name,nr_code,pdb_id,polymer_entity_id,instance_id,observed_full_lbd_ca_coverage,construct_lbd_mapping_coverage,unmapped_lbd_residues,mapped_but_no_ca_record_residues,zero_occupancy_only_residues,resolution_project_range_status,r_free_status,attrition_classification
P10588,EAR-2,NR2F6,8C5L,8C5L_1,8C5L.B,0.816594,0.864629,31,11,0,PASS_PROJECT_RANGE,PASS_ALL_LE_0_30,BOTH
P10588,EAR-2,NR2F6,8C5L,8C5L_1,8C5L.A,0.816594,0.864629,31,11,0,PASS_PROJECT_RANGE,PASS_ALL_LE_0_30,BOTH
P10827,TRα,NR1A1,2H77,2H77_1,2H77.A,0.84898,0.84898,37,0,0,PASS_PROJECT_RANGE,PASS_ALL_LE_0_30,CONSTRUCT_TRUNCATION
P10827,TRα,NR1A1,2H79,2H79_1,2H79.A,0.84898,0.84898,37,0,0,PASS_PROJECT_RANGE,PASS_ALL_LE_0_30,CONSTRUCT_TRUNCATION
P10827,TRα,NR1A1,3HZF,3HZF_1,3HZF.A,0.84898,0.84898,37,0,0,PASS_PROJECT_RANGE,PASS_ALL_LE_0_30,CONSTRUCT_TRUNCATION
P10827,TRα,NR1A1,4LNW,4LNW_1,4LNW.A,0.84898,0.84898,37,0,0,PASS_PROJECT_RANGE,PASS_ALL_LE_0_30,CONSTRUCT_TRUNCATION
P10827,TRα,NR1A1,4LNX,4LNX_1,4LNX.A,0.84898,0.84898,37,0,0,PASS_PROJECT_RANGE,PASS_ALL_LE_0_30,CONSTRUCT_TRUNCATION
P10827,TRα,NR1A1,7QDT,7QDT_1,7QDT.A,0.84898,0.84898,37,0,0,PASS_PROJECT_RANGE,PASS_ALL_LE_0_30,CONSTRUCT_TRUNCATION
P11473,VDR,NR1I1,7QPP,7QPP_1,7QPP.A,0.83165,0.841751,47,3,0,ULTRAHIGH_LT_1_8,PASS_ALL_LE_0_30,BOTH
P11474,ERRα,NR3B1,3K6P,3K6P_1,3K6P.A,0.943231,1.0,0,13,0,PASS_PROJECT_RANGE,PASS_ALL_LE_0_30,UNRESOLVED_COORDINATES
