common_name,nr_code,uniprot_id,stage2_candidates,stage3b_selected_candidates,selected_unique_pdb_entries,selected_instances,positive_occupancy_full_lbd_complete,positive_occupancy_coverage_ge_0_99,positive_occupancy_coverage_ge_0_95,positive_occupancy_coverage_ge_0_90,bfactor_complete,zero_occupancy_affected_instances,coordinate_review_needed_count
AR,NR3C4,P10275,102,93,92,95,3,23,89,95,3,0,0
ERα,NR3A1,P03372,517,376,351,790,32,68,425,711,32,1,0
ERβ,NR3A2,Q92731,39,39,39,86,0,1,43,85,0,1,0
GR,NR3C1,P04150,57,33,33,61,6,12,44,51,6,0,0
MR,NR3C2,P08235,30,29,29,48,0,6,17,34,0,0,0
PR,NR3C3,P06401,21,19,19,35,0,0,34,35,0,0,0
RARα,NR1B1,P10276,14,12,12,15,0,9,13,15,0,0,0
RARβ,NR1B2,P10826,9,8,8,14,0,12,14,14,0,1,0
RARγ,NR1B3,P13631,11,11,11,11,1,11,11,11,1,0,0
TRα,NR1A1,P10827,10,10,10,10,0,0,0,0,0,2,0
TRβ,NR1A2,P10828,34,33,33,38,0,3,22,37,0,0,0
VDR,NR1I1,P11473,52,48,48,48,0,0,0,0,0,7,0
CAR,NR1I3,Q14994,2,2,2,4,0,0,4,4,0,0,0
ERRα,NR3B1,P11474,6,5,5,8,0,0,0,8,0,0,0
ERRβ,NR3B2,O95718,3,2,2,3,0,0,1,1,0,0,0
ERRγ,NR3B3,P62508,43,33,33,54,12,35,45,52,12,0,0
FXR,NR1H4,Q96RI1,92,91,91,144,64,94,134,144,64,0,0
HNF4α,NR2A1,P41235,8,7,7,29,0,1,6,13,0,0,0
HNF4γ,NR2A2,Q14541,1,1,1,1,0,0,1,1,0,0,0
LRH-1,NR5A2,O00482,28,25,25,33,6,16,30,33,6,0,0
LXRα,NR1H3,Q13133,7,7,7,11,0,0,2,11,0,0,0
LXRβ,NR1H2,P55055,25,25,25,64,2,7,40,59,2,0,0
NUR77,NR4A1,P22736,22,21,21,44,0,2,38,44,0,0,0
NURR1,NR4A2,P43354,10,8,6,21,0,0,11,21,0,0,0
PPARα,NR1C1,Q07869,79,79,79,106,60,62,101,102,60,0,0
PPARδ,NR1C2,Q03181,56,55,55,105,38,40,100,104,38,0,0
PPARγ,NR1C3,P37231,383,382,379,644,69,77,445,619,69,24,0
PXR,NR1I2,O75469,80,80,80,117,0,0,12,96,0,0,0
Rev-erbα,NR1D1,P20393,5,2,2,2,0,0,0,0,0,0,0
Rev-erbβ,NR1D2,Q14995,6,6,6,12,0,0,0,6,0,0,0
RORα,NR1F1,P35398,3,3,3,4,4,4,4,4,4,0,0
RORβ,NR1F2,Q92753,0,0,0,0,0,0,0,0,0,0,0
RORγ,NR1F3,P51449,165,165,162,269,28,130,140,234,28,0,0
RXRα,NR2B1,P19793,111,95,95,153,13,13,28,114,13,0,0
RXRβ,NR2B2,P28702,7,7,7,14,0,0,0,2,0,0,0
RXRγ,NR2B3,P48443,2,2,2,6,0,0,0,2,0,0,0
SF-1,NR5A1,Q13285,6,6,6,8,3,3,8,8,3,0,0
TR2,NR2C1,P13056,0,0,0,0,0,0,0,0,0,0,0
TR4,NR2C2,P49116,5,2,2,3,0,0,0,1,0,0,0
COUP-TFI,NR2F1,P10589,1,0,0,0,0,0,0,0,0,0,0
COUP-TFII,NR2F2,P24468,1,1,1,1,0,0,0,0,0,0,0
DAX-1,NR0B1,P51843,1,0,0,0,0,0,0,0,0,0,0
EAR-2,NR2F6,P10588,1,1,1,2,0,0,0,0,0,0,0
GCNF,NR6A1,Q15406,0,0,0,0,0,0,0,0,0,0,0
NOR-1,NR4A3,Q92570,1,0,0,0,0,0,0,0,0,0,0
PNR,NR2E3,Q9Y5X4,1,1,1,2,0,0,0,0,0,0,0
SHP,NR0B2,Q15466,14,14,14,40,0,0,0,0,0,0,0
TLX,NR2E1,Q9Y466,1,1,1,4,0,0,0,0,0,0,0
