common_name,nr_code,uniprot_id,stage2_entities,no_lbd_overlap,trace_lbd,partial_lbd,substantial_lbd,near_complete_lbd,xray_entities,project_metadata_prefilter_pass,unique_pdb_entries_prefilter_pass,instance_count_for_prefilter_entities,review_needed_count
AR,NR3C4,P10275,102,9,0,0,0,93,102,63,62,65,39
ERα,NR3A1,P03372,517,140,0,0,5,372,512,312,291,631,205
ERβ,NR3A2,Q92731,39,0,0,0,0,39,39,34,34,77,5
GR,NR3C1,P04150,57,20,4,0,0,33,53,32,32,57,25
MR,NR3C2,P08235,30,1,0,0,0,29,30,20,20,35,10
PR,NR3C3,P06401,21,2,0,0,0,19,21,15,15,27,6
RARα,NR1B1,P10276,14,2,0,0,0,12,14,11,11,14,3
RARβ,NR1B2,P10826,9,1,0,0,0,8,8,7,7,13,2
RARγ,NR1B3,P13631,11,0,0,0,0,11,11,3,3,3,8
TRα,NR1A1,P10827,10,0,0,0,10,0,10,10,10,10,0
TRβ,NR1A2,P10828,34,1,0,0,0,33,34,29,29,33,5
VDR,NR1I1,P11473,52,4,0,0,46,2,52,34,34,34,18
CAR,NR1I3,Q14994,2,0,0,0,0,2,2,2,2,4,0
ERRα,NR3B1,P11474,6,1,0,0,0,5,6,4,4,6,2
ERRβ,NR3B2,O95718,3,1,0,0,0,2,2,2,2,3,1
ERRγ,NR3B3,P62508,43,10,1,0,0,32,43,22,22,43,21
FXR,NR1H4,Q96RI1,92,1,0,0,1,90,92,84,84,131,8
HNF4α,NR2A1,P41235,8,1,0,0,0,7,8,5,5,24,3
HNF4γ,NR2A2,Q14541,1,0,0,0,0,1,1,1,1,1,0
LRH-1,NR5A2,O00482,28,3,0,0,0,25,27,21,21,25,7
LXRα,NR1H3,Q13133,7,0,0,0,0,7,7,4,4,6,3
LXRβ,NR1H2,P55055,25,0,0,0,0,25,25,24,24,63,1
NUR77,NR4A1,P22736,22,1,0,0,0,21,22,19,19,40,3
NURR1,NR4A2,P43354,10,2,0,0,0,8,10,8,6,21,2
PPARα,NR1C1,Q07869,79,0,0,0,0,79,79,43,43,66,36
PPARδ,NR1C2,Q03181,56,1,0,0,0,55,55,46,46,87,10
PPARγ,NR1C3,P37231,383,0,0,0,0,383,382,328,325,559,55
PXR,NR1I2,O75469,80,0,0,0,0,80,80,78,78,114,2
Rev-erbα,NR1D1,P20393,5,3,0,2,0,0,5,2,2,2,3
Rev-erbβ,NR1D2,Q14995,6,0,0,0,6,0,6,6,6,12,0
RORα,NR1F1,P35398,3,0,0,0,0,3,3,2,2,3,1
RORβ,NR1F2,Q92753,0,0,0,0,0,0,0,0,0,0,0
RORγ,NR1F3,P51449,165,0,3,0,19,143,165,136,133,224,29
RXRα,NR2B1,P19793,111,16,1,0,1,93,110,81,81,129,30
RXRβ,NR2B2,P28702,7,0,0,0,0,7,7,4,4,8,3
RXRγ,NR2B3,P48443,2,0,0,0,0,2,2,2,2,6,0
SF-1,NR5A1,Q13285,6,0,0,0,0,6,6,6,6,8,0
TR2,NR2C1,P13056,0,0,0,0,0,0,0,0,0,0,0
TR4,NR2C2,P49116,5,3,0,0,0,2,5,2,2,3,3
COUP-TFI,NR2F1,P10589,1,1,0,0,0,0,0,0,0,0,1
COUP-TFII,NR2F2,P24468,1,0,0,0,0,1,1,0,0,0,1
DAX-1,NR0B1,P51843,1,1,0,0,0,0,1,0,0,0,1
EAR-2,NR2F6,P10588,1,0,0,0,1,0,1,1,1,2,0
GCNF,NR6A1,Q15406,0,0,0,0,0,0,0,0,0,0,0
NOR-1,NR4A3,Q92570,1,0,0,0,0,1,0,0,0,0,1
PNR,NR2E3,Q9Y5X4,1,0,0,0,1,0,1,0,0,0,1
SHP,NR0B2,Q15466,14,0,14,0,0,0,14,13,13,39,1
TLX,NR2E1,Q9Y466,1,0,0,0,1,0,1,0,0,0,1
