uniprot_id,nr_code,common_name,http_status,retrieved_at_utc,targets_returned,stage2_targets_expected,stage2_targets_matched,targets_outside_stage2_scope,missing_stage2_targets,raw_response_file,raw_response_sha256,success,error_message
P10275,NR3C4,AR,200,2026-09-23T17:32:04.220703+00:00,102,102,102,[],[],data/raw/api/rcsb/sequence_coordinates/P10275.json,c4772aa2d4e110b4947769f805c5805009b8a2eb0d5a452879a62442b289967c,True,
P03372,NR3A1,ERα,200,2026-09-23T17:32:06.239758+00:00,518,517,517,"[""8ZZR_1""]",[],data/raw/api/rcsb/sequence_coordinates/P03372.json,25ef50448650da5d79ca3bb04dc7dd97a89c53378c6ac7c331bab06cd9231b84,True,
Q92731,NR3A2,ERβ,200,2026-09-23T17:32:07.558267+00:00,39,39,39,[],[],data/raw/api/rcsb/sequence_coordinates/Q92731.json,4ec5153ec371a4dc23cdf2c739482e2b7acef68c65e764bc781c8ca7dcdb93d0,True,
P04150,NR3C1,GR,200,2026-09-23T17:32:08.661876+00:00,57,57,57,[],[],data/raw/api/rcsb/sequence_coordinates/P04150.json,42dd3385f976dc2060dbde2a4b5fed088ee3c3979e5efb5f5c348014b3ee7f04,True,
P08235,NR3C2,MR,200,2026-09-23T17:32:12.076343+00:00,30,30,30,[],[],data/raw/api/rcsb/sequence_coordinates/P08235.json,8eda00755497d4e005b27c5590895058268f8325bf76fbe8a7aab1834f90cb0b,True,
P06401,NR3C3,PR,200,2026-09-23T17:32:16.710091+00:00,21,21,21,[],[],data/raw/api/rcsb/sequence_coordinates/P06401.json,d5ad46400250db53ec0ed26e870dfbd8961ba79625c0d58e931224270c7e2d05,True,
P10276,NR1B1,RARα,200,2026-09-23T17:32:18.547421+00:00,14,14,14,[],[],data/raw/api/rcsb/sequence_coordinates/P10276.json,ab033abb4cdfb41cac37a6d03417ac7cfa0a1ea0759f9ae4fd89a0b3c9ae2a9e,True,
P10826,NR1B2,RARβ,200,2026-09-23T17:32:19.743042+00:00,9,9,9,[],[],data/raw/api/rcsb/sequence_coordinates/P10826.json,b231258ed170a0cd3a4f0ab5e1ece715b075a86e39da7466936286f923a32df9,True,
P13631,NR1B3,RARγ,200,2026-09-23T17:32:21.193790+00:00,11,11,11,[],[],data/raw/api/rcsb/sequence_coordinates/P13631.json,a743c4644e3fb5a31b7e0f02971f20c2baf81f2b473f733fcfe5a6c4be98cf62,True,
P10827,NR1A1,TRα,200,2026-09-23T17:32:22.852090+00:00,10,10,10,[],[],data/raw/api/rcsb/sequence_coordinates/P10827.json,c8fdbb84a482721e96c6cae8128027ca7d7007d4e10e54b30110d1daa086d436,True,
P10828,NR1A2,TRβ,200,2026-09-23T17:32:26.972752+00:00,34,34,34,[],[],data/raw/api/rcsb/sequence_coordinates/P10828.json,31e95cd5b91317672f9f7ff0157884e0fecededa81e58bd91748acaf3e9fbc5f,True,
P11473,NR1I1,VDR,200,2026-09-23T17:32:28.199357+00:00,52,52,52,[],[],data/raw/api/rcsb/sequence_coordinates/P11473.json,5d86af3a68358d0bb0f0e3eb8257e32df560e352267804267936d994fce60f57,True,
