polymer_entity_id,pdb_id,entity_id,mapped_database_name,mapped_uniprot_accession,alignment_regions_json,query_project_uniprot,is_project_receptor_accession,is_query_receptor_accession,duplicate_mapping_for_same_accession,aligned_region_count,reference_intervals_overlap,entity_intervals_overlap,computed_reference_sequence_coverage,computed_entity_sequence_coverage
1Y0X_1,1Y0X,1,UniProt,P10828,"[{""entity_beg_seq_id"":22,""ref_beg_seq_id"":202,""length"":260,""entity_end_seq_id"":281,""ref_end_seq_id"":461}]",P10828,True,True,False,1,False,False,0.563991,0.925267
1Y0S_1,1Y0S,1,UniProt,Q03181,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":170,""length"":272,""entity_end_seq_id"":272,""ref_end_seq_id"":441}]",Q03181,True,True,False,1,False,False,0.61678,1.0
1XZX_1,1XZX,1,UniProt,P10828,"[{""entity_beg_seq_id"":22,""ref_beg_seq_id"":202,""length"":260,""entity_end_seq_id"":281,""ref_end_seq_id"":461}]",P10828,True,True,False,1,False,False,0.563991,0.925267
1XVP_2,1XVP,2,UniProt,Q14994,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":103,""length"":246,""entity_end_seq_id"":246,""ref_end_seq_id"":348}]",Q14994,True,True,False,1,False,False,0.698864,1.0
1XVP_1,1XVP,1,UniProt,P19793,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":227,""length"":236,""entity_end_seq_id"":236,""ref_end_seq_id"":462}]",P19793,True,True,False,1,False,False,0.510823,1.0
1XV9_2,1XV9,2,UniProt,Q14994,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":103,""length"":246,""entity_end_seq_id"":246,""ref_end_seq_id"":348}]",Q14994,True,True,False,1,False,False,0.698864,1.0
1XV9_1,1XV9,1,UniProt,P19793,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":227,""length"":236,""entity_end_seq_id"":236,""ref_end_seq_id"":462}]",P19793,True,True,False,1,False,False,0.510823,1.0
1XQC_1,1XQC,1,UniProt,P03372,"[{""entity_beg_seq_id"":2,""ref_beg_seq_id"":301,""length"":253,""entity_end_seq_id"":254,""ref_end_seq_id"":553}]",P03372,True,True,False,1,False,False,0.42521,0.996063
1XQ3_1,1XQ3,1,UniProt,P10275,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":672,""length"":249,""entity_end_seq_id"":249,""ref_end_seq_id"":920}]",P10275,True,True,False,1,False,False,0.270652,1.0
1XPC_1,1XPC,1,UniProt,P03372,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":307,""length"":248,""entity_end_seq_id"":248,""ref_end_seq_id"":554}]",P03372,True,True,False,1,False,False,0.416807,1.0
1XP9_1,1XP9,1,UniProt,P03372,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":307,""length"":248,""entity_end_seq_id"":248,""ref_end_seq_id"":554}]",P03372,True,True,False,1,False,False,0.416807,1.0
1XP6_1,1XP6,1,UniProt,P03372,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":307,""length"":248,""entity_end_seq_id"":248,""ref_end_seq_id"":554}]",P03372,True,True,False,1,False,False,0.416807,1.0
1XP1_1,1XP1,1,UniProt,P03372,"[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":307,""length"":248,""entity_end_seq_id"":248,""ref_end_seq_id"":554}]",P03372,True,True,False,1,False,False,0.416807,1.0
