uniprot_id,nr_code,common_name,sequence_length,profile_lbd_start,profile_lbd_end,profile_lbd_length,profile_source,profile_source_identifier,previous_cohort_lbd_start,previous_cohort_lbd_end,previous_cohort_lbd_length,previous_cohort_source,start_difference_previous_vs_profile,end_difference_previous_vs_profile,length_difference_previous_vs_profile,historical_range_available,boundary_audit_status,boundary_audit_notes
P10275,NR3C4,AR,920,669,900,232,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
P03372,NR3A1,ERα,595,311,547,237,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
Q92731,NR3A2,ERβ,530,264,498,235,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
P04150,NR3C1,GR,777,524,758,235,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
P08235,NR3C2,MR,984,726,964,239,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
P06401,NR3C3,PR,933,679,913,235,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
P10276,NR1B1,RARα,462,183,417,235,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
P10826,NR1B2,RARβ,455,183,417,235,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
P13631,NR1B3,RARγ,454,185,419,235,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
P10827,NR1A1,TRα,490,163,407,245,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
P10828,NR1A2,TRβ,461,217,461,245,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
P11473,NR1I1,VDR,427,127,423,297,UniProt,PROSITE-ProRule:PRU01189,118,427,310,"https://github.com/sumeshi3648/BioInformatics-Bfactors.git @69899f60d7ab0eed19d3029687fe31f03b835ac2 (scripts/plot_vdr_final.py, compute_dssp_vdr.py, consensus_sse_vdr.py, build_vdr_consensus_sse.py, plot_vdr_violin_sse.py, summarize_vdr_flexibility_by_region.py — hard-coded script defaults, not a data file)",-9,4,13,True,MATERIAL_DIFFERENCE,Boundary difference reaches 9 residue(s) at at least one terminus.
Q14994,NR1I3,CAR,352,109,352,244,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
P11474,NR3B1,ERRα,423,193,421,229,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
O95718,NR3B2,ERRβ,433,208,432,225,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
P62508,NR3B3,ERRγ,458,233,457,225,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
Q96RI1,NR1H4,FXR,486,262,486,225,UniProt,PROSITE-ProRule:PRU01189,,,,,,,,False,PREVIOUS_RANGE_UNAVAILABLE,No previous-cohort LBD range found for this receptor.
