uniprot_id,nr_code,common_name,stage2_candidates,stage3b_coordinate_candidates,primary_selected_structures,primary_unique_pdb_entries,apo_count,holo_count,ambiguous_ligand_count,95pct_sensitivity_count,99pct_sensitivity_count,fusion_count,no_fusion_sensitivity_count
P10275,NR3C4,AR,102,93,63,62,0,63,0,60,13,0,63
P03372,NR3A1,ERα,517,376,298,279,8,290,0,219,40,0,298
Q92731,NR3A2,ERβ,39,39,34,34,0,34,0,24,0,0,34
P04150,NR3C1,GR,57,33,28,28,0,28,0,26,5,0,28
P08235,NR3C2,MR,30,29,19,19,0,19,0,8,3,0,19
P06401,NR3C3,PR,21,19,15,15,0,15,0,14,0,0,15
P10276,NR1B1,RARα,14,12,11,11,0,11,0,10,7,0,11
P10826,NR1B2,RARβ,9,8,7,7,0,7,0,7,6,0,7
P13631,NR1B3,RARγ,11,11,3,3,0,3,0,3,3,0,3
P10827,NR1A1,TRα,10,10,0,0,0,0,0,0,0,0,0
P10828,NR1A2,TRβ,34,33,28,28,0,28,0,15,3,0,28
P11473,NR1I1,VDR,52,48,0,0,0,0,0,0,0,0,0
Q14994,NR1I3,CAR,2,2,2,2,1,1,0,2,0,0,2
P11474,NR3B1,ERRα,6,5,4,4,2,2,0,0,0,0,4
O95718,NR3B2,ERRβ,3,2,1,1,1,0,0,1,0,0,1
P62508,NR3B3,ERRγ,43,33,20,20,5,15,0,19,16,0,20
Q96RI1,NR1H4,FXR,92,91,84,84,1,83,0,80,53,1,83
P41235,NR2A1,HNF4α,8,7,5,5,0,5,0,3,1,0,5
Q14541,NR2A2,HNF4γ,1,1,1,1,0,1,0,1,0,0,1
O00482,NR5A2,LRH-1,28,25,21,21,1,20,0,19,10,0,21
Q13133,NR1H3,LXRα,7,7,4,4,0,4,0,1,0,0,4
P55055,NR1H2,LXRβ,25,25,23,23,0,23,0,20,7,1,22
P22736,NR4A1,NUR77,22,21,19,19,11,8,0,19,2,0,19
P43354,NR4A2,NURR1,10,8,8,6,8,0,0,6,0,0,8
Q07869,NR1C1,PPARα,79,79,42,42,3,39,0,41,21,0,42
Q03181,NR1C2,PPARδ,56,55,46,46,1,45,0,46,15,0,46
P37231,NR1C3,PPARγ,383,382,324,322,65,259,0,268,52,0,324
O75469,NR1I2,PXR,80,80,66,66,11,55,0,8,0,21,45
P20393,NR1D1,Rev-erbα,5,2,0,0,0,0,0,0,0,0,0
Q14995,NR1D2,Rev-erbβ,6,6,4,4,0,4,0,0,0,0,4
P35398,NR1F1,RORα,3,3,2,2,0,2,0,2,2,0,2
Q92753,NR1F2,RORβ,0,0,0,0,0,0,0,0,0,0,0
P51449,NR1F3,RORγ,165,165,124,124,4,120,0,87,79,12,112
P19793,NR2B1,RXRα,111,95,68,68,8,60,0,12,6,1,67
P28702,NR2B2,RXRβ,7,7,0,0,0,0,0,0,0,0,0
P48443,NR2B3,RXRγ,2,2,1,1,0,1,0,0,0,0,1
Q13285,NR5A1,SF-1,6,6,6,6,0,6,0,6,3,0,6
P13056,NR2C1,TR2,0,0,0,0,0,0,0,0,0,0,0
P49116,NR2C2,TR4,5,2,1,1,1,0,0,0,0,0,1
P10589,NR2F1,COUP-TFI,1,0,0,0,0,0,0,0,0,0,0
P24468,NR2F2,COUP-TFII,1,1,0,0,0,0,0,0,0,0,0
P51843,NR0B1,DAX-1,1,0,0,0,0,0,0,0,0,0,0
P10588,NR2F6,EAR-2,1,1,0,0,0,0,0,0,0,0,0
Q15406,NR6A1,GCNF,0,0,0,0,0,0,0,0,0,0,0
Q92570,NR4A3,NOR-1,1,0,0,0,0,0,0,0,0,0,0
Q9Y5X4,NR2E3,PNR,1,1,0,0,0,0,0,0,0,0,0
Q15466,NR0B2,SHP,14,14,0,0,0,0,0,0,0,0,0
Q9Y466,NR2E1,TLX,1,1,0,0,0,0,0,0,0,0,0
