uniprot_id,nr_code,common_name,group,pdb_id,polymer_entity_id,entity_id,entity_description,entity_sequence_length,label_asym_ids,auth_asym_ids,all_mapped_uniprot_accessions,mapping_contains_query_uniprot,mapping_status,source_organism_names,source_taxonomy_ids,experimental_methods,structure_determination_methodology,resolution_combined,r_work,r_free,deposit_date,initial_release_date,is_xray,is_cryo_em,is_nmr,is_other_experimental,has_resolution,has_r_free,source_includes_homo_sapiens_9606,is_current_pdb_entry,computed_reference_sequence_coverage_x,computed_entity_sequence_coverage_x,rcsb_reference_sequence_coverage_x,rcsb_entity_sequence_coverage_x,computed_reference_sequence_coverage_y,computed_entity_sequence_coverage_y,rcsb_reference_sequence_coverage_y,rcsb_entity_sequence_coverage_y,computed_reference_sequence_coverage,computed_entity_sequence_coverage,rcsb_reference_sequence_coverage,rcsb_entity_sequence_coverage
P10275,NR3C4,AR,Steroid hormone receptors,1E3G,1E3G_1,1,ANDROGEN RECEPTOR,263,"[""A""]","[""A""]","[""P10275""]",True,CONFIRMED,"[""HOMO SAPIENS""]",[9606],"[""X-RAY DIFFRACTION""]",experimental,[2.4],[0.21],[0.297],2000-06-14T00:00:00Z,2001-06-14T00:00:00Z,True,False,False,False,True,True,True,True,0.28587,1.0,0.2858695652173913,1.0,0.28587,1.0,0.2858695652173913,1.0,0.28587,1.0,0.2858695652173913,1.0
P10275,NR3C4,AR,Steroid hormone receptors,1GS4,1GS4_1,1,ANDROGEN RECEPTOR,248,"[""A""]","[""A""]","[""P10275""]",True,CONFIRMED,"[""HOMO SAPIENS""]",[9606],"[""X-RAY DIFFRACTION""]",experimental,[1.95],[],[0.285],2001-12-27T00:00:00Z,2003-01-16T00:00:00Z,True,False,False,False,True,True,True,True,0.269565,1.0,0.2695652173913043,1.0,0.269565,1.0,0.2695652173913043,1.0,0.269565,1.0,0.2695652173913043,1.0
P10275,NR3C4,AR,Steroid hormone receptors,1T5Z,1T5Z_1,1,Androgen receptor,251,"[""A""]","[""A""]","[""P10275""]",True,CONFIRMED,"[""Homo sapiens""]",[9606],"[""X-RAY DIFFRACTION""]",experimental,[2.3],[0.228],[0.26],2004-05-05T00:00:00Z,2005-01-25T00:00:00Z,True,False,False,False,True,True,True,True,0.272826,1.0,0.2728260869565217,1.0,0.272826,1.0,0.2728260869565217,1.0,0.272826,1.0,0.2728260869565217,1.0
P10275,NR3C4,AR,Steroid hormone receptors,1T63,1T63_1,1,Androgen receptor,251,"[""A""]","[""A""]","[""P10275""]",True,CONFIRMED,"[""Homo sapiens""]",[9606],"[""X-RAY DIFFRACTION""]",experimental,[2.07],[0.2],[0.23],2004-05-05T00:00:00Z,2005-01-25T00:00:00Z,True,False,False,False,True,True,True,True,0.272826,1.0,0.2728260869565217,1.0,0.272826,1.0,0.2728260869565217,1.0,0.272826,1.0,0.2728260869565217,1.0
P10275,NR3C4,AR,Steroid hormone receptors,1T65,1T65_1,1,Androgen receptor,251,"[""A""]","[""A""]","[""P10275""]",True,CONFIRMED,"[""Homo sapiens""]",[9606],"[""X-RAY DIFFRACTION""]",experimental,[1.66],[0.23],[0.27],2004-05-05T00:00:00Z,2005-01-25T00:00:00Z,True,False,False,False,True,True,True,True,0.272826,1.0,0.2728260869565217,1.0,0.272826,1.0,0.2728260869565217,1.0,0.272826,1.0,0.2728260869565217,1.0
P10275,NR3C4,AR,Steroid hormone receptors,1XJ7,1XJ7_1,1,Androgen receptor,257,"[""A""]","[""A""]","[""P10275""]",True,CONFIRMED,"[""Homo sapiens""]",[9606],"[""X-RAY DIFFRACTION""]",experimental,[2.7],[0.234],[0.32],2004-09-22T00:00:00Z,2005-01-25T00:00:00Z,True,False,False,False,True,True,True,True,0.279348,1.0,0.2793478260869565,1.0,0.279348,1.0,0.2793478260869565,1.0,0.279348,1.0,0.2793478260869565,1.0
P10275,NR3C4,AR,Steroid hormone receptors,1XOW,1XOW_1,1,androgen receptor,249,"[""A""]","[""A""]","[""P10275""]",True,CONFIRMED,"[""Homo sapiens""]",[9606],"[""X-RAY DIFFRACTION""]",experimental,[1.8],[0.21],[0.213],2004-10-07T00:00:00Z,2004-11-16T00:00:00Z,True,False,False,False,True,True,True,True,0.270652,1.0,0.2706521739130434,1.0,0.270652,1.0,0.2706521739130434,1.0,0.270652,1.0,0.2706521739130434,1.0
P10275,NR3C4,AR,Steroid hormone receptors,1XOW,1XOW_2,2,decamer fragment of androgen receptor,11,"[""B""]","[""B""]","[""P10275""]",True,CONFIRMED,[],[9606],"[""X-RAY DIFFRACTION""]",experimental,[1.8],[0.21],[0.213],2004-10-07T00:00:00Z,2004-11-16T00:00:00Z,True,False,False,False,True,True,True,True,0.011957,1.0,0.0119565217391304,1.0,0.011957,1.0,0.0119565217391304,1.0,0.011957,1.0,0.0119565217391304,1.0
P10275,NR3C4,AR,Steroid hormone receptors,1XQ3,1XQ3_1,1,androgen receptor,249,"[""A""]","[""A""]","[""P10275""]",True,CONFIRMED,"[""Homo sapiens""]",[9606],"[""X-RAY DIFFRACTION""]",experimental,[2.25],[0.215],[0.242],2004-10-11T00:00:00Z,2004-11-16T00:00:00Z,True,False,False,False,True,True,True,True,0.270652,1.0,0.2706521739130434,1.0,0.270652,1.0,0.2706521739130434,1.0,0.270652,1.0,0.2706521739130434,1.0
P10275,NR3C4,AR,Steroid hormone receptors,1Z95,1Z95_1,1,Androgen Receptor,246,"[""A""]","[""A""]","[""P10275""]",True,CONFIRMED,"[""Homo sapiens""]",[9606],"[""X-RAY DIFFRACTION""]",experimental,[1.8],[0.223],[0.256],2005-03-31T00:00:00Z,2005-04-19T00:00:00Z,True,False,False,False,True,True,True,True,0.267391,1.0,0.2673913043478261,1.0,0.267391,1.0,0.2673913043478261,1.0,0.267391,1.0,0.2673913043478261,1.0
P10275,NR3C4,AR,Steroid hormone receptors,2AM9,2AM9_1,1,Androgen receptor,266,"[""A""]","[""A""]","[""P10275""]",True,CONFIRMED,"[""Homo sapiens""]",[9606],"[""X-RAY DIFFRACTION""]",experimental,[1.64],[0.191],[0.23],2005-08-09T00:00:00Z,2006-05-16T00:00:00Z,True,False,False,False,True,True,True,True,0.28913,1.0,0.2891304347826087,1.0,0.28913,1.0,0.2891304347826087,1.0,0.28913,1.0,0.2891304347826087,1.0
P10275,NR3C4,AR,Steroid hormone receptors,2AMA,2AMA_1,1,Androgen receptor,266,"[""A""]","[""A""]","[""P10275""]",True,CONFIRMED,"[""Homo sapiens""]",[9606],"[""X-RAY DIFFRACTION""]",experimental,[1.9],[0.214],[0.241],2005-08-09T00:00:00Z,2006-05-16T00:00:00Z,True,False,False,False,True,True,True,True,0.28913,1.0,0.2891304347826087,1.0,0.28913,1.0,0.2891304347826087,1.0,0.28913,1.0,0.2891304347826087,1.0
P10275,NR3C4,AR,Steroid hormone receptors,2AMB,2AMB_1,1,Androgen receptor,266,"[""A""]","[""A""]","[""P10275""]",True,CONFIRMED,"[""Homo sapiens""]",[9606],"[""X-RAY DIFFRACTION""]",experimental,[1.75],[0.186],[0.209],2005-08-09T00:00:00Z,2006-05-16T00:00:00Z,True,False,False,False,True,True,True,True,0.28913,1.0,0.2891304347826087,1.0,0.28913,1.0,0.2891304347826087,1.0,0.28913,1.0,0.2891304347826087,1.0
P10275,NR3C4,AR,Steroid hormone receptors,2AO6,2AO6_1,1,androgen receptor,249,"[""A""]","[""A""]","[""P10275""]",True,CONFIRMED,"[""Homo sapiens""]",[9606],"[""X-RAY DIFFRACTION""]",experimental,[1.89],[0.22],[0.242],2005-08-12T00:00:00Z,2005-08-30T00:00:00Z,True,False,False,False,True,True,True,True,0.270652,1.0,0.2706521739130434,1.0,0.270652,1.0,0.2706521739130434,1.0,0.270652,1.0,0.2706521739130434,1.0
P10275,NR3C4,AR,Steroid hormone receptors,2AX6,2AX6_1,1,Androgen receptor,256,"[""A""]","[""A""]","[""P10275""]",True,CONFIRMED,"[""Homo sapiens""]",[9606],"[""X-RAY DIFFRACTION""]",experimental,[1.5],[0.246],[0.274],2005-09-03T00:00:00Z,2005-09-20T00:00:00Z,True,False,False,False,True,True,True,True,0.278261,1.0,0.2782608695652174,1.0,0.278261,1.0,0.2782608695652174,1.0,0.278261,1.0,0.2782608695652174,1.0
P10275,NR3C4,AR,Steroid hormone receptors,2AX7,2AX7_1,1,Androgen receptor,256,"[""A""]","[""A""]","[""P10275""]",True,CONFIRMED,"[""Homo sapiens""]",[9606],"[""X-RAY DIFFRACTION""]",experimental,[1.9],[0.206],[0.247],2005-09-03T00:00:00Z,2005-09-20T00:00:00Z,True,False,False,False,True,True,True,True,0.278261,1.0,0.2782608695652174,1.0,0.278261,1.0,0.2782608695652174,1.0,0.278261,1.0,0.2782608695652174,1.0
P10275,NR3C4,AR,Steroid hormone receptors,2AX8,2AX8_1,1,Androgen receptor,256,"[""A""]","[""A""]","[""P10275""]",True,CONFIRMED,"[""Homo sapiens""]",[9606],"[""X-RAY DIFFRACTION""]",experimental,[1.7],[0.212],[0.248],2005-09-03T00:00:00Z,2005-09-20T00:00:00Z,True,False,False,False,True,True,True,True,0.278261,1.0,0.2782608695652174,1.0,0.278261,1.0,0.2782608695652174,1.0,0.278261,1.0,0.2782608695652174,1.0
P10275,NR3C4,AR,Steroid hormone receptors,2AX9,2AX9_1,1,Androgen receptor,256,"[""A""]","[""A""]","[""P10275""]",True,CONFIRMED,"[""Homo sapiens""]",[9606],"[""X-RAY DIFFRACTION""]",experimental,[1.65],[0.224],[0.249],2005-09-03T00:00:00Z,2005-09-20T00:00:00Z,True,False,False,False,True,True,True,True,0.278261,1.0,0.2782608695652174,1.0,0.278261,1.0,0.2782608695652174,1.0,0.278261,1.0,0.2782608695652174,1.0
P10275,NR3C4,AR,Steroid hormone receptors,2AXA,2AXA_1,1,Androgen receptor,256,"[""A""]","[""A""]","[""P10275""]",True,CONFIRMED,"[""Homo sapiens""]",[9606],"[""X-RAY DIFFRACTION""]",experimental,[1.8],[0.21],[0.25],2005-09-03T00:00:00Z,2005-09-20T00:00:00Z,True,False,False,False,True,True,True,True,0.278261,1.0,0.2782608695652174,1.0,0.278261,1.0,0.2782608695652174,1.0,0.278261,1.0,0.2782608695652174,1.0
P10275,NR3C4,AR,Steroid hormone receptors,2HVC,2HVC_1,1,Androgen receptor,250,"[""A""]","[""A""]","[""P10275""]",True,CONFIRMED,"[""Homo sapiens""]",[9606],"[""X-RAY DIFFRACTION""]",experimental,[2.1],[0.221],[0.253],2006-07-28T00:00:00Z,2007-07-31T00:00:00Z,True,False,False,False,True,True,True,True,0.271739,1.0,0.2717391304347826,1.0,0.271739,1.0,0.2717391304347826,1.0,0.271739,1.0,0.2717391304347826,1.0
P10275,NR3C4,AR,Steroid hormone receptors,2OZ7,2OZ7_1,1,Androgen receptor,249,"[""A""]","[""A""]","[""P10275""]",True,CONFIRMED,"[""Homo sapiens""]",[9606],"[""X-RAY DIFFRACTION""]",experimental,[1.8],[0.253],[0.27],2007-02-25T00:00:00Z,2007-03-27T00:00:00Z,True,False,False,False,True,True,True,True,0.270652,1.0,0.2706521739130434,1.0,0.270652,1.0,0.2706521739130434,1.0,0.270652,1.0,0.2706521739130434,1.0
P10275,NR3C4,AR,Steroid hormone receptors,2PIO,2PIO_1,1,Androgen receptor,251,"[""A""]","[""A""]","[""P10275""]",True,CONFIRMED,"[""Homo sapiens""]",[9606],"[""X-RAY DIFFRACTION""]",experimental,[2.03],[0.2455],[0.2868],2007-04-13T00:00:00Z,2007-09-25T00:00:00Z,True,False,False,False,True,True,True,True,0.272826,1.0,0.2728260869565217,1.0,0.272826,1.0,0.2728260869565217,1.0,0.272826,1.0,0.2728260869565217,1.0
P10275,NR3C4,AR,Steroid hormone receptors,2PIP,2PIP_1,1,Androgen receptor,251,"[""A""]","[""L""]","[""P10275""]",True,CONFIRMED,"[""Homo sapiens""]",[9606],"[""X-RAY DIFFRACTION""]",experimental,[1.8],[0.24],[0.25],2007-04-13T00:00:00Z,2007-09-25T00:00:00Z,True,False,False,False,True,True,True,True,0.272826,1.0,0.2728260869565217,1.0,0.272826,1.0,0.2728260869565217,1.0,0.272826,1.0,0.2728260869565217,1.0
