pdb_id,polymer_entity_id,entity_id,instance_id,label_asym_id,auth_asym_id,instance_metadata_status,instance_metadata_notes,uniprot_id,experimental_methods,resolution_combined_min,resolution_combined_max,r_free_min,r_free_max,lbd_start,lbd_end,mapped_lbd_residues,lbd_mapping_coverage,lbd_mapping_category,taxonomy_audit_status,multi_uniprot_entity,nr_code,common_name,group
11SD,11SD_2,2,11SD.D,D,Y,PASS,,P03372,"[""X-RAY DIFFRACTION""]",2.816,2.816,0.2511,0.2511,311,547,0,0.0,NO_LBD_OVERLAP,,False,NR3A1,ERα,Steroid hormone receptors
11SD,11SD_2,2,11SD.C,C,X,PASS,,P03372,"[""X-RAY DIFFRACTION""]",2.816,2.816,0.2511,0.2511,311,547,0,0.0,NO_LBD_OVERLAP,,False,NR3A1,ERα,Steroid hormone receptors
11SE,11SE_2,2,11SE.D,D,Y,PASS,,P03372,"[""X-RAY DIFFRACTION""]",2.239,2.239,0.2562,0.2562,311,547,0,0.0,NO_LBD_OVERLAP,,False,NR3A1,ERα,Steroid hormone receptors
11SE,11SE_2,2,11SE.C,C,X,PASS,,P03372,"[""X-RAY DIFFRACTION""]",2.239,2.239,0.2562,0.2562,311,547,0,0.0,NO_LBD_OVERLAP,,False,NR3A1,ERα,Steroid hormone receptors
11SF,11SF_2,2,11SF.D,D,Y,PASS,,P03372,"[""X-RAY DIFFRACTION""]",2.24,2.24,0.2496,0.2496,311,547,0,0.0,NO_LBD_OVERLAP,,False,NR3A1,ERα,Steroid hormone receptors
11SF,11SF_2,2,11SF.C,C,X,PASS,,P03372,"[""X-RAY DIFFRACTION""]",2.24,2.24,0.2496,0.2496,311,547,0,0.0,NO_LBD_OVERLAP,,False,NR3A1,ERα,Steroid hormone receptors
11SG,11SG_2,2,11SG.D,D,Y,PASS,,P03372,"[""X-RAY DIFFRACTION""]",2.6,2.6,0.2482,0.2482,311,547,0,0.0,NO_LBD_OVERLAP,,False,NR3A1,ERα,Steroid hormone receptors
11SG,11SG_2,2,11SG.C,C,X,PASS,,P03372,"[""X-RAY DIFFRACTION""]",2.6,2.6,0.2482,0.2482,311,547,0,0.0,NO_LBD_OVERLAP,,False,NR3A1,ERα,Steroid hormone receptors
11SH,11SH_2,2,11SH.D,D,Y,PASS,,P03372,"[""X-RAY DIFFRACTION""]",2.2,2.2,0.2367,0.2367,311,547,0,0.0,NO_LBD_OVERLAP,,False,NR3A1,ERα,Steroid hormone receptors
11SH,11SH_2,2,11SH.C,C,X,PASS,,P03372,"[""X-RAY DIFFRACTION""]",2.2,2.2,0.2367,0.2367,311,547,0,0.0,NO_LBD_OVERLAP,,False,NR3A1,ERα,Steroid hormone receptors
11SI,11SI_2,2,11SI.D,D,Y,PASS,,P03372,"[""X-RAY DIFFRACTION""]",2.5,2.5,0.2774,0.2774,311,547,0,0.0,NO_LBD_OVERLAP,,False,NR3A1,ERα,Steroid hormone receptors
11SI,11SI_2,2,11SI.C,C,X,PASS,,P03372,"[""X-RAY DIFFRACTION""]",2.5,2.5,0.2774,0.2774,311,547,0,0.0,NO_LBD_OVERLAP,,False,NR3A1,ERα,Steroid hormone receptors
11SJ,11SJ_2,2,11SJ.D,D,Y,PASS,,P03372,"[""X-RAY DIFFRACTION""]",2.4,2.4,0.2434,0.2434,311,547,0,0.0,NO_LBD_OVERLAP,,False,NR3A1,ERα,Steroid hormone receptors
11SJ,11SJ_2,2,11SJ.C,C,X,PASS,,P03372,"[""X-RAY DIFFRACTION""]",2.4,2.4,0.2434,0.2434,311,547,0,0.0,NO_LBD_OVERLAP,,False,NR3A1,ERα,Steroid hormone receptors
11ZU,11ZU_2,2,11ZU.D,D,Y,PASS,,P03372,"[""X-RAY DIFFRACTION""]",2.25,2.25,0.2263,0.2263,311,547,0,0.0,NO_LBD_OVERLAP,,False,NR3A1,ERα,Steroid hormone receptors
11ZU,11ZU_2,2,11ZU.C,C,X,PASS,,P03372,"[""X-RAY DIFFRACTION""]",2.25,2.25,0.2263,0.2263,311,547,0,0.0,NO_LBD_OVERLAP,,False,NR3A1,ERα,Steroid hormone receptors
1A28,1A28_1,1,1A28.B,B,B,PASS,,P06401,"[""X-RAY DIFFRACTION""]",1.8,1.8,0.227,0.227,679,913,235,1.0,NEAR_COMPLETE_LBD,,False,NR3C3,PR,Steroid hormone receptors
1A28,1A28_1,1,1A28.A,A,A,PASS,,P06401,"[""X-RAY DIFFRACTION""]",1.8,1.8,0.227,0.227,679,913,235,1.0,NEAR_COMPLETE_LBD,,False,NR3C3,PR,Steroid hormone receptors
1A52,1A52_1,1,1A52.B,B,B,PASS,,P03372,"[""X-RAY DIFFRACTION""]",2.8,2.8,0.274,0.274,311,547,237,1.0,NEAR_COMPLETE_LBD,,False,NR3A1,ERα,Steroid hormone receptors
1A52,1A52_1,1,1A52.A,A,A,PASS,,P03372,"[""X-RAY DIFFRACTION""]",2.8,2.8,0.274,0.274,311,547,237,1.0,NEAR_COMPLETE_LBD,,False,NR3A1,ERα,Steroid hormone receptors
1A6Y,1A6Y_3,3,1A6Y.C,C,A,PASS,,P20393,"[""X-RAY DIFFRACTION""]",2.3,2.3,0.288,0.288,284,614,0,0.0,NO_LBD_OVERLAP,,False,NR1D1,Rev-erbα,Nutritional sensors
1A6Y,1A6Y_3,3,1A6Y.D,D,B,PASS,,P20393,"[""X-RAY DIFFRACTION""]",2.3,2.3,0.288,0.288,284,614,0,0.0,NO_LBD_OVERLAP,,False,NR1D1,Rev-erbα,Nutritional sensors
1BSX,1BSX_1,1,1BSX.C,C,B,PASS,,P10828,"[""X-RAY DIFFRACTION""]",3.7,3.7,0.299,0.299,217,461,245,1.0,NEAR_COMPLETE_LBD,,False,NR1A2,TRβ,Steroid hormone receptors
1BSX,1BSX_1,1,1BSX.A,A,A,PASS,,P10828,"[""X-RAY DIFFRACTION""]",3.7,3.7,0.299,0.299,217,461,245,1.0,NEAR_COMPLETE_LBD,,False,NR1A2,TRβ,Steroid hormone receptors
1BY4,1BY4_3,3,1BY4.E,E,A,PASS,,P19793,"[""X-RAY DIFFRACTION""]",2.1,2.1,0.284,0.284,227,458,0,0.0,NO_LBD_OVERLAP,,False,NR2B1,RXRα,Nutritional sensors
1BY4,1BY4_3,3,1BY4.F,F,B,PASS,,P19793,"[""X-RAY DIFFRACTION""]",2.1,2.1,0.284,0.284,227,458,0,0.0,NO_LBD_OVERLAP,,False,NR2B1,RXRα,Nutritional sensors
1BY4,1BY4_3,3,1BY4.G,G,C,PASS,,P19793,"[""X-RAY DIFFRACTION""]",2.1,2.1,0.284,0.284,227,458,0,0.0,NO_LBD_OVERLAP,,False,NR2B1,RXRα,Nutritional sensors
1BY4,1BY4_3,3,1BY4.H,H,D,PASS,,P19793,"[""X-RAY DIFFRACTION""]",2.1,2.1,0.284,0.284,227,458,0,0.0,NO_LBD_OVERLAP,,False,NR2B1,RXRα,Nutritional sensors
1DB1,1DB1_1,1,1DB1.A,A,A,PASS,,P11473,"[""X-RAY DIFFRACTION""]",1.8,1.8,0.214,0.214,127,423,250,0.841751,SUBSTANTIAL_LBD,,False,NR1I1,VDR,Steroid hormone receptors
1DKF,1DKF_2,2,1DKF.B,B,B,PASS,,P10276,"[""X-RAY DIFFRACTION""]",2.5,2.5,0.262,0.262,183,417,234,0.995745,NEAR_COMPLETE_LBD,,False,NR1B1,RARα,Steroid hormone receptors
1DSZ,1DSZ_3,3,1DSZ.C,C,A,PASS,,P10276,"[""X-RAY DIFFRACTION""]",1.7,1.7,0.267,0.267,183,417,0,0.0,NO_LBD_OVERLAP,,False,NR1B1,RARα,Steroid hormone receptors
1DSZ,1DSZ_4,4,1DSZ.D,D,B,PASS,,P19793,"[""X-RAY DIFFRACTION""]",1.7,1.7,0.267,0.267,227,458,0,0.0,NO_LBD_OVERLAP,,False,NR2B1,RXRα,Nutritional sensors
1E3G,1E3G_1,1,1E3G.A,A,A,PASS,,P10275,"[""X-RAY DIFFRACTION""]",2.4,2.4,0.297,0.297,669,900,232,1.0,NEAR_COMPLETE_LBD,,False,NR3C4,AR,Steroid hormone receptors
1E3K,1E3K_1,1,1E3K.B,B,B,PASS,,P06401,"[""X-RAY DIFFRACTION""]",2.8,2.8,0.343,0.343,679,913,235,1.0,NEAR_COMPLETE_LBD,,False,NR3C3,PR,Steroid hormone receptors
1E3K,1E3K_1,1,1E3K.A,A,A,PASS,,P06401,"[""X-RAY DIFFRACTION""]",2.8,2.8,0.343,0.343,679,913,235,1.0,NEAR_COMPLETE_LBD,,False,NR3C3,PR,Steroid hormone receptors
1ERE,1ERE_1,1,1ERE.F,F,F,PASS,,P03372,"[""X-RAY DIFFRACTION""]",3.1,3.1,0.251,0.251,311,547,237,1.0,NEAR_COMPLETE_LBD,,False,NR3A1,ERα,Steroid hormone receptors
1ERE,1ERE_1,1,1ERE.E,E,E,PASS,,P03372,"[""X-RAY DIFFRACTION""]",3.1,3.1,0.251,0.251,311,547,237,1.0,NEAR_COMPLETE_LBD,,False,NR3A1,ERα,Steroid hormone receptors
1ERE,1ERE_1,1,1ERE.D,D,D,PASS,,P03372,"[""X-RAY DIFFRACTION""]",3.1,3.1,0.251,0.251,311,547,237,1.0,NEAR_COMPLETE_LBD,,False,NR3A1,ERα,Steroid hormone receptors
1ERE,1ERE_1,1,1ERE.C,C,C,PASS,,P03372,"[""X-RAY DIFFRACTION""]",3.1,3.1,0.251,0.251,311,547,237,1.0,NEAR_COMPLETE_LBD,,False,NR3A1,ERα,Steroid hormone receptors
1ERE,1ERE_1,1,1ERE.B,B,B,PASS,,P03372,"[""X-RAY DIFFRACTION""]",3.1,3.1,0.251,0.251,311,547,237,1.0,NEAR_COMPLETE_LBD,,False,NR3A1,ERα,Steroid hormone receptors
1ERE,1ERE_1,1,1ERE.A,A,A,PASS,,P03372,"[""X-RAY DIFFRACTION""]",3.1,3.1,0.251,0.251,311,547,237,1.0,NEAR_COMPLETE_LBD,,False,NR3A1,ERα,Steroid hormone receptors
