uniprot_id,nr_code,common_name,group,pdb_id,polymer_entity_id,entity_id,stage3b_coordinate_selected,representative_instance_id,label_asym_id,auth_asym_id,experimental_methods,resolution,r_free,standardized_lbd_start,standardized_lbd_end,standardized_lbd_length,positive_occupancy_lbd_coverage,bfactor_usable_lbd_coverage,completeness_ge_090,completeness_ge_095,completeness_ge_099,completeness_ge_080,completeness_eq_100,identity_class,fusion_or_chimera,primary_method_pass,primary_completeness_pass,primary_resolution_pass,primary_rfree_pass,primary_identity_pass,primary_selection_status,primary_exclusion_reasons_json,in_primary_set,in_completeness_95_sensitivity,in_completeness_99_sensitivity,in_completeness_80_sensitivity,in_ultrahigh_resolution_sensitivity,in_no_fusion_sensitivity,selection_policy_version
P10275,NR3C4,AR,Steroid hormone receptors,1E3G,1E3G_1,1,True,1E3G.A,A,A,"[""X-RAY DIFFRACTION""]",2.4,0.297,669,900,232,0.99569,0.99569,True,True,True,True,False,HUMAN_OR_HUMAN_DERIVED,False,True,True,True,True,True,SELECTED_PRIMARY,[],True,True,True,True,False,True,final-structure-selection-v1
P10275,NR3C4,AR,Steroid hormone receptors,1GS4,1GS4_1,1,True,1GS4.A,A,A,"[""X-RAY DIFFRACTION""]",1.95,0.285,669,900,232,0.974138,0.974138,True,True,False,True,False,HUMAN_OR_HUMAN_DERIVED,False,True,True,True,True,True,SELECTED_PRIMARY,[],True,True,False,True,False,True,final-structure-selection-v1
P10275,NR3C4,AR,Steroid hormone receptors,1T5Z,1T5Z_1,1,True,1T5Z.A,A,A,"[""X-RAY DIFFRACTION""]",2.3,0.26,669,900,232,0.99569,0.99569,True,True,True,True,False,HUMAN_OR_HUMAN_DERIVED,False,True,True,True,True,True,SELECTED_PRIMARY,[],True,True,True,True,False,True,final-structure-selection-v1
P10275,NR3C4,AR,Steroid hormone receptors,1T63,1T63_1,1,True,1T63.A,A,A,"[""X-RAY DIFFRACTION""]",2.07,0.23,669,900,232,0.99569,0.99569,True,True,True,True,False,HUMAN_OR_HUMAN_DERIVED,False,True,True,True,True,True,SELECTED_PRIMARY,[],True,True,True,True,False,True,final-structure-selection-v1
P10275,NR3C4,AR,Steroid hormone receptors,1T65,1T65_1,1,True,1T65.A,A,A,"[""X-RAY DIFFRACTION""]",1.66,0.27,669,900,232,0.99569,0.99569,True,True,True,True,False,HUMAN_OR_HUMAN_DERIVED,False,True,True,False,True,True,EXCLUDED_PRIMARY,"[""RESOLUTION_LT_1_8""]",False,False,False,False,True,False,final-structure-selection-v1
P10275,NR3C4,AR,Steroid hormone receptors,1XJ7,1XJ7_1,1,True,1XJ7.A,A,A,"[""X-RAY DIFFRACTION""]",2.7,0.32,669,900,232,1.0,1.0,True,True,True,True,True,HUMAN_OR_HUMAN_DERIVED,False,True,True,True,False,True,EXCLUDED_PRIMARY,"[""RFREE_GT_0_30""]",False,False,False,False,False,False,final-structure-selection-v1
P10275,NR3C4,AR,Steroid hormone receptors,1XOW,1XOW_1,1,True,1XOW.A,A,A,"[""X-RAY DIFFRACTION""]",1.8,0.213,669,900,232,0.961207,0.961207,True,True,False,True,False,HUMAN_OR_HUMAN_DERIVED,False,True,True,True,True,True,SELECTED_PRIMARY,[],True,True,False,True,False,True,final-structure-selection-v1
P10275,NR3C4,AR,Steroid hormone receptors,1XOW,1XOW_2,2,False,,,,"[""X-RAY DIFFRACTION""]",1.8,0.213,669,900,232,,,False,False,False,False,False,HUMAN_OR_HUMAN_DERIVED,False,True,False,True,True,True,NO_COORDINATE_CANDIDATE,"[""NO_LBD_OVERLAP""]",False,False,False,False,False,False,final-structure-selection-v1
P10275,NR3C4,AR,Steroid hormone receptors,1XQ3,1XQ3_1,1,True,1XQ3.A,A,A,"[""X-RAY DIFFRACTION""]",2.25,0.242,669,900,232,0.961207,0.961207,True,True,False,True,False,HUMAN_OR_HUMAN_DERIVED,False,True,True,True,True,True,SELECTED_PRIMARY,[],True,True,False,True,False,True,final-structure-selection-v1
P10275,NR3C4,AR,Steroid hormone receptors,1Z95,1Z95_1,1,True,1Z95.A,A,A,"[""X-RAY DIFFRACTION""]",1.8,0.256,669,900,232,0.948276,0.948276,True,False,False,True,False,HUMAN_OR_HUMAN_DERIVED,False,True,True,True,True,True,SELECTED_PRIMARY,[],True,False,False,True,False,True,final-structure-selection-v1
