record_index,uniprot_id,nr_code,common_name,group,sequence_length,lbd_start,lbd_end,lbd_length,lbd_definition,lbd_coordinate_system,lbd_source,lbd_source_identifier,lbd_feature_type,lbd_feature_description,lbd_feature_evidence,uniprot_entry_version,uniprot_sequence_version,lbd_status,lbd_notes,dbd_start,dbd_end,dbd_source,dbd_status
0,P10275,NR3C4,AR,Steroid hormone receptors,920,669,900,232,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,310,3,PASS,,560,632,UniProt,PASS
1,P03372,NR3A1,ERα,Steroid hormone receptors,595,311,547,237,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,301,2,PASS,,185,250,UniProt,PASS
2,Q92731,NR3A2,ERβ,Steroid hormone receptors,530,264,498,235,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,257,2,PASS,,149,214,UniProt,PASS
3,P04150,NR3C1,GR,Steroid hormone receptors,777,524,758,235,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,295,1,PASS,,418,493,UniProt,PASS
4,P08235,NR3C2,MR,Steroid hormone receptors,984,726,964,239,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,253,2,PASS,,603,668,UniProt,PASS
5,P06401,NR3C3,PR,Steroid hormone receptors,933,679,913,235,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,273,4,PASS,,567,639,UniProt,PASS
6,P10276,NR1B1,RARα,Steroid hormone receptors,462,183,417,235,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,276,2,PASS,,88,153,UniProt,PASS
7,P10826,NR1B2,RARβ,Steroid hormone receptors,455,183,417,235,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,265,2,PASS,,88,153,UniProt,PASS
8,P13631,NR1B3,RARγ,Steroid hormone receptors,454,185,419,235,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,260,1,PASS,,90,155,UniProt,PASS
9,P10827,NR1A1,TRα,Steroid hormone receptors,490,163,407,245,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,UniProt,PROSITE-ProRule:PRU01189,Domain,NR LBD,PROSITE-ProRule:PRU01189,264,1,PASS,,53,127,UniProt,PASS
