uniprot_id,nr_code,common_name,pdb_id,polymer_entity_id,entity_id,candidate_instance_count,all_candidate_instance_ids_json,all_candidate_qc_json,selected_instance_id,selected_label_asym_id,selected_auth_asym_id,selected_model_num,selected_observed_full_lbd_ca_coverage,selected_bfactor_usable_full_lbd_coverage,tie_break_step,selection_reason
P06401,NR3C3,PR,1A28,1A28_1,1,2,"[""1A28.A"", ""1A28.B""]","[{""instance_id"": ""1A28.B"", ""label_asym_id"": ""B"", ""auth_asym_id"": ""B"", ""observed_full_lbd_ca_coverage"": 0.982979, ""bfactor_usable_full_lbd_coverage"": 0.982979, ""internal_missing_residue_count"": 0, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 4}, {""instance_id"": ""1A28.A"", ""label_asym_id"": ""A"", ""auth_asym_id"": ""A"", ""observed_full_lbd_ca_coverage"": 0.987234, ""bfactor_usable_full_lbd_coverage"": 0.987234, ""internal_missing_residue_count"": 0, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 3}]",1A28.A,A,A,1,0.987234,0.987234,highest positive-occupancy full standardized-LBD Ca coverage,2 candidate instance(s) for this receptor x PDB entry x polymer entity; selected 1A28.A via: highest positive-occupancy full standardized-LBD Ca coverage.
P03372,NR3A1,ERα,1A52,1A52_1,1,2,"[""1A52.A"", ""1A52.B""]","[{""instance_id"": ""1A52.B"", ""label_asym_id"": ""B"", ""auth_asym_id"": ""B"", ""observed_full_lbd_ca_coverage"": 0.987342, ""bfactor_usable_full_lbd_coverage"": 0.987342, ""internal_missing_residue_count"": 0, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 3}, {""instance_id"": ""1A52.A"", ""label_asym_id"": ""A"", ""auth_asym_id"": ""A"", ""observed_full_lbd_ca_coverage"": 0.987342, ""bfactor_usable_full_lbd_coverage"": 0.987342, ""internal_missing_residue_count"": 0, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 3}]",1A52.A,A,A,1,0.987342,0.987342,lexicographically smallest label_asym_id,2 candidate instance(s) for this receptor x PDB entry x polymer entity; selected 1A52.A via: lexicographically smallest label_asym_id.
P10828,NR1A2,TRβ,1BSX,1BSX_1,1,2,"[""1BSX.A"", ""1BSX.C""]","[{""instance_id"": ""1BSX.C"", ""label_asym_id"": ""C"", ""auth_asym_id"": ""B"", ""observed_full_lbd_ca_coverage"": 0.967347, ""bfactor_usable_full_lbd_coverage"": 0.967347, ""internal_missing_residue_count"": 8, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 8}, {""instance_id"": ""1BSX.A"", ""label_asym_id"": ""A"", ""auth_asym_id"": ""A"", ""observed_full_lbd_ca_coverage"": 0.967347, ""bfactor_usable_full_lbd_coverage"": 0.967347, ""internal_missing_residue_count"": 8, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 8}]",1BSX.A,A,A,1,0.967347,0.967347,lexicographically smallest label_asym_id,2 candidate instance(s) for this receptor x PDB entry x polymer entity; selected 1BSX.A via: lexicographically smallest label_asym_id.
P11473,NR1I1,VDR,1DB1,1DB1_1,1,1,"[""1DB1.A""]","[{""instance_id"": ""1DB1.A"", ""label_asym_id"": ""A"", ""auth_asym_id"": ""A"", ""observed_full_lbd_ca_coverage"": 0.818182, ""bfactor_usable_full_lbd_coverage"": 0.818182, ""internal_missing_residue_count"": 7, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 7}]",1DB1.A,A,A,1,0.818182,0.818182,NO_TIE_SINGLE_INSTANCE,1 candidate instance(s) for this receptor x PDB entry x polymer entity; selected 1DB1.A via: NO_TIE_SINGLE_INSTANCE.
P10276,NR1B1,RARα,1DKF,1DKF_2,2,1,"[""1DKF.B""]","[{""instance_id"": ""1DKF.B"", ""label_asym_id"": ""B"", ""auth_asym_id"": ""B"", ""observed_full_lbd_ca_coverage"": 0.982979, ""bfactor_usable_full_lbd_coverage"": 0.982979, ""internal_missing_residue_count"": 3, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 3}]",1DKF.B,B,B,1,0.982979,0.982979,NO_TIE_SINGLE_INSTANCE,1 candidate instance(s) for this receptor x PDB entry x polymer entity; selected 1DKF.B via: NO_TIE_SINGLE_INSTANCE.
P10275,NR3C4,AR,1E3G,1E3G_1,1,1,"[""1E3G.A""]","[{""instance_id"": ""1E3G.A"", ""label_asym_id"": ""A"", ""auth_asym_id"": ""A"", ""observed_full_lbd_ca_coverage"": 0.99569, ""bfactor_usable_full_lbd_coverage"": 0.99569, ""internal_missing_residue_count"": 0, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 1}]",1E3G.A,A,A,1,0.99569,0.99569,NO_TIE_SINGLE_INSTANCE,1 candidate instance(s) for this receptor x PDB entry x polymer entity; selected 1E3G.A via: NO_TIE_SINGLE_INSTANCE.
P06401,NR3C3,PR,1E3K,1E3K_1,1,2,"[""1E3K.A"", ""1E3K.B""]","[{""instance_id"": ""1E3K.B"", ""label_asym_id"": ""B"", ""auth_asym_id"": ""B"", ""observed_full_lbd_ca_coverage"": 0.982979, ""bfactor_usable_full_lbd_coverage"": 0.982979, ""internal_missing_residue_count"": 0, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 4}, {""instance_id"": ""1E3K.A"", ""label_asym_id"": ""A"", ""auth_asym_id"": ""A"", ""observed_full_lbd_ca_coverage"": 0.987234, ""bfactor_usable_full_lbd_coverage"": 0.987234, ""internal_missing_residue_count"": 0, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 3}]",1E3K.A,A,A,1,0.987234,0.987234,highest positive-occupancy full standardized-LBD Ca coverage,2 candidate instance(s) for this receptor x PDB entry x polymer entity; selected 1E3K.A via: highest positive-occupancy full standardized-LBD Ca coverage.
P03372,NR3A1,ERα,1ERE,1ERE_1,1,6,"[""1ERE.A"", ""1ERE.B"", ""1ERE.C"", ""1ERE.D"", ""1ERE.E"", ""1ERE.F""]","[{""instance_id"": ""1ERE.F"", ""label_asym_id"": ""F"", ""auth_asym_id"": ""F"", ""observed_full_lbd_ca_coverage"": 0.962025, ""bfactor_usable_full_lbd_coverage"": 0.962025, ""internal_missing_residue_count"": 9, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 9}, {""instance_id"": ""1ERE.E"", ""label_asym_id"": ""E"", ""auth_asym_id"": ""E"", ""observed_full_lbd_ca_coverage"": 0.962025, ""bfactor_usable_full_lbd_coverage"": 0.962025, ""internal_missing_residue_count"": 9, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 9}, {""instance_id"": ""1ERE.D"", ""label_asym_id"": ""D"", ""auth_asym_id"": ""D"", ""observed_full_lbd_ca_coverage"": 0.962025, ""bfactor_usable_full_lbd_coverage"": 0.962025, ""internal_missing_residue_count"": 9, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 9}, {""instance_id"": ""1ERE.C"", ""label_asym_id"": ""C"", ""auth_asym_id"": ""C"", ""observed_full_lbd_ca_coverage"": 0.962025, ""bfactor_usable_full_lbd_coverage"": 0.962025, ""internal_missing_residue_count"": 9, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 9}, {""instance_id"": ""1ERE.B"", ""label_asym_id"": ""B"", ""auth_asym_id"": ""B"", ""observed_full_lbd_ca_coverage"": 0.962025, ""bfactor_usable_full_lbd_coverage"": 0.962025, ""internal_missing_residue_count"": 9, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 9}, {""instance_id"": ""1ERE.A"", ""label_asym_id"": ""A"", ""auth_asym_id"": ""A"", ""observed_full_lbd_ca_coverage"": 0.962025, ""bfactor_usable_full_lbd_coverage"": 0.962025, ""internal_missing_residue_count"": 9, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 9}]",1ERE.A,A,A,1,0.962025,0.962025,lexicographically smallest label_asym_id,6 candidate instance(s) for this receptor x PDB entry x polymer entity; selected 1ERE.A via: lexicographically smallest label_asym_id.
P03372,NR3A1,ERα,1ERR,1ERR_1,1,2,"[""1ERR.A"", ""1ERR.B""]","[{""instance_id"": ""1ERR.B"", ""label_asym_id"": ""B"", ""auth_asym_id"": ""B"", ""observed_full_lbd_ca_coverage"": 0.902954, ""bfactor_usable_full_lbd_coverage"": 0.902954, ""internal_missing_residue_count"": 23, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 23}, {""instance_id"": ""1ERR.A"", ""label_asym_id"": ""A"", ""auth_asym_id"": ""A"", ""observed_full_lbd_ca_coverage"": 0.932489, ""bfactor_usable_full_lbd_coverage"": 0.932489, ""internal_missing_residue_count"": 16, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 16}]",1ERR.A,A,A,1,0.932489,0.932489,highest positive-occupancy full standardized-LBD Ca coverage,2 candidate instance(s) for this receptor x PDB entry x polymer entity; selected 1ERR.A via: highest positive-occupancy full standardized-LBD Ca coverage.
P13631,NR1B3,RARγ,1EXA,1EXA_1,1,1,"[""1EXA.A""]","[{""instance_id"": ""1EXA.A"", ""label_asym_id"": ""A"", ""auth_asym_id"": ""A"", ""observed_full_lbd_ca_coverage"": 0.991489, ""bfactor_usable_full_lbd_coverage"": 0.991489, ""internal_missing_residue_count"": 0, ""mapped_with_zero_occupancy_only_ca_residues"": 0, ""total_mapped_unmodeled_residues"": 2}]",1EXA.A,A,A,1,0.991489,0.991489,NO_TIE_SINGLE_INSTANCE,1 candidate instance(s) for this receptor x PDB entry x polymer entity; selected 1EXA.A via: NO_TIE_SINGLE_INSTANCE.
