common_name,nr_code,uniprot_id,base_status,best_observed_coverage,tied_best_candidates_json,candidates_at_100pct,pdb_entries_at_100pct,status_at_100pct,candidates_at_99pct,pdb_entries_at_99pct,status_at_99pct,candidates_at_95pct,pdb_entries_at_95pct,status_at_95pct,candidates_at_90pct,pdb_entries_at_90pct,status_at_90pct,candidates_at_80pct,pdb_entries_at_80pct,status_at_80pct
AR,NR3C4,P10275,HAS_CANDIDATE,1.0,"[""1XJ7/1XJ7_1"", ""5JJM/5JJM_1""]",2,2,RETAINED,21,20,RETAINED,87,86,RETAINED,93,92,RETAINED,93,92,RETAINED
ERα,NR3A1,P03372,HAS_CANDIDATE,1.0,"[""1G50/1G50_1"", ""1QKT/1QKT_1"", ""1QKU/1QKU_1"", ""1XP1/1XP1_1"", ""1XP6/1XP6_1"", ""1XP9/1XP9_1"", ""1XPC/1XPC_1"", ""1YIM/1YIM_1"", ""1ZKY/1ZKY_1"", ""2AYR/2AYR_1"", ""2B1V/2B1V_1"", ""2FAI/2FAI_1"", ""2IOG/2IOG_1"", ""2OUZ/2OUZ_1"", ""2QAB/2QAB_1"", ""2YJA/2YJA_2"", ""3ERD/3ERD_1"", ""3ERT/3ERT_1"", ""3Q95/3Q95_2"", ""5DI7/5DI7_1"", ""5DID/5DID_1"", ""5FQP/5FQP_1"", ""6CHW/6CHW_1"", ""6CHZ/6CHZ_1"", ""7NEL/7NEL_1"", ""7NFB/7NFB_1"", ""7RS4/7RS4_1"", ""9EBG/9EBG_2""]",28,28,RETAINED,57,56,RETAINED,268,257,RETAINED,361,339,RETAINED,374,349,RETAINED
ERβ,NR3A2,Q92731,HAS_CANDIDATE,0.991489,"[""3OLL/3OLL_1""]",0,0,LOST_AT_THRESHOLD,1,1,RETAINED,26,26,RETAINED,39,39,RETAINED,39,39,RETAINED
GR,NR3C1,P04150,HAS_CANDIDATE,1.0,"[""1M2Z/1M2Z_1"", ""4P6X/4P6X_1""]",2,2,RETAINED,5,5,RETAINED,27,27,RETAINED,29,29,RETAINED,29,29,RETAINED
MR,NR3C2,P08235,HAS_CANDIDATE,0.995816,"[""2AA6/2AA6_1"", ""2AAX/2AAX_1"", ""2AB2/2AB2_1"", ""3WFF/3WFF_1""]",0,0,LOST_AT_THRESHOLD,4,4,RETAINED,13,13,RETAINED,26,26,RETAINED,28,28,RETAINED
PR,NR3C3,P06401,HAS_CANDIDATE,0.987234,"[""1A28/1A28_1"", ""1E3K/1E3K_1"", ""1ZUC/1ZUC_1"", ""3HQ5/3HQ5_1"", ""3KBA/3KBA_1""]",0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,18,18,RETAINED,19,19,RETAINED,19,19,RETAINED
RARα,NR1B1,P10276,HAS_CANDIDATE,0.991489,"[""3A9E/3A9E_2"", ""3KMR/3KMR_1"", ""4DQM/4DQM_1"", ""5K13/5K13_1"", ""7AOS/7AOS_2"", ""7APO/7APO_1"", ""9GFE/9GFE_1"", ""9GFI/9GFI_1""]",0,0,LOST_AT_THRESHOLD,8,8,RETAINED,11,11,RETAINED,12,12,RETAINED,12,12,RETAINED
RARβ,NR1B2,P10826,HAS_CANDIDATE,0.995745,"[""4DM6/4DM6_1"", ""4DM8/4DM8_1""]",0,0,LOST_AT_THRESHOLD,7,7,RETAINED,8,8,RETAINED,8,8,RETAINED,8,8,RETAINED
RARγ,NR1B3,P13631,HAS_CANDIDATE,1.0,"[""2LBD/2LBD_1""]",1,1,RETAINED,11,11,RETAINED,11,11,RETAINED,11,11,RETAINED,11,11,RETAINED
TRα,NR1A1,P10827,HAS_CANDIDATE,0.84898,"[""2H77/2H77_1"", ""2H79/2H79_1"", ""3HZF/3HZF_1"", ""4LNW/4LNW_1"", ""4LNX/4LNX_1"", ""7QDT/7QDT_1""]",0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,10,10,RETAINED
TRβ,NR1A2,P10828,HAS_CANDIDATE,0.995918,"[""1NAX/1NAX_1"", ""2J4A/2J4A_1"", ""2PIN/2PIN_1""]",0,0,LOST_AT_THRESHOLD,3,3,RETAINED,17,17,RETAINED,32,32,RETAINED,33,33,RETAINED
VDR,NR1I1,P11473,HAS_CANDIDATE,0.83165,"[""7QPP/7QPP_1""]",0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,48,48,RETAINED
CAR,NR1I3,Q14994,HAS_CANDIDATE,0.983607,"[""1XV9/1XV9_2"", ""1XVP/1XVP_2""]",0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,2,2,RETAINED,2,2,RETAINED,2,2,RETAINED
ERRα,NR3B1,P11474,HAS_CANDIDATE,0.943231,"[""3K6P/3K6P_1""]",0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,5,5,RETAINED,5,5,RETAINED
ERRβ,NR3B2,O95718,HAS_CANDIDATE,0.968889,"[""6LN4/6LN4_1""]",0,0,LOST_AT_THRESHOLD,0,0,LOST_AT_THRESHOLD,1,1,RETAINED,1,1,RETAINED,2,2,RETAINED
