polymer_entity_id,pdb_id,entity_id,project_receptor_uniprot,project_receptor_name,entity_description,entity_sequence_length,all_mapped_uniprot_accessions,project_receptor_reference_coverage,project_receptor_entity_coverage,all_mapping_ranges_json,source_organism_names,source_taxonomy_ids,classification,classification_reason
3CTB_1,3CTB,1,O75469,PXR,"Pregnane X receptor, Linker, Steroid receptor coactivator 1",344,"[""O75469"",""Q15788""]",0.702765,0.886628,"{""O75469"":[{""entity_beg_seq_id"":12,""ref_beg_seq_id"":130,""length"":305,""entity_end_seq_id"":316,""ref_end_seq_id"":434}],""Q15788"":[{""entity_beg_seq_id"":322,""ref_beg_seq_id"":678,""length"":23,""entity_end_seq_id"":344,""ref_end_seq_id"":700}]}","[""Homo sapiens""]",[9606],FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(12, 316)] and Q15788's range(s) [(322, 344)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
3HVL_1,3HVL,1,O75469,PXR,"Pregnane X receptor, Linker, Steroid receptor coactivator 1",344,"[""O75469"",""Q15788""]",0.702765,0.886628,"{""O75469"":[{""entity_beg_seq_id"":12,""ref_beg_seq_id"":130,""length"":305,""entity_end_seq_id"":316,""ref_end_seq_id"":434}],""Q15788"":[{""entity_beg_seq_id"":322,""ref_beg_seq_id"":678,""length"":23,""entity_end_seq_id"":344,""ref_end_seq_id"":700}]}","[""Homo sapiens""]",[9606],FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(12, 316)] and Q15788's range(s) [(322, 344)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
4J5X_1,4J5X,1,P19793,RXRα,"Retinoic acid receptor RXR-alpha, Nuclear receptor coactivator 1",264,"[""P19793"",""Q15788""]",0.510823,0.893939,"{""P19793"":[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":227,""length"":236,""entity_end_seq_id"":236,""ref_end_seq_id"":462}],""Q15788"":[{""entity_beg_seq_id"":242,""ref_beg_seq_id"":678,""length"":23,""entity_end_seq_id"":264,""ref_end_seq_id"":700}]}","[""Homo sapiens""]",[9606],FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(1, 236)] and Q15788's range(s) [(242, 264)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
4J5X_2,4J5X,2,O75469,PXR,"Nuclear receptor subfamily 1 group I member 2, Nuclear receptor coactivator 1",336,"[""O75469"",""Q15788""]",0.702765,0.907738,"{""O75469"":[{""entity_beg_seq_id"":4,""ref_beg_seq_id"":130,""length"":305,""entity_end_seq_id"":308,""ref_end_seq_id"":434}],""Q15788"":[{""entity_beg_seq_id"":314,""ref_beg_seq_id"":678,""length"":23,""entity_end_seq_id"":336,""ref_end_seq_id"":700}]}","[""Homo sapiens""]",[9606],FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(4, 308)] and Q15788's range(s) [(314, 336)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
4LOG_1,4LOG,1,Q9Y5X4,PNR,Maltose ABC transporter periplasmic protein and NR2E3 protein chimeric construct,574,"[""P0AEX9"",""Q9Y5X4""]",0.473171,0.337979,"{""P0AEX9"":[{""entity_beg_seq_id"":2,""ref_beg_seq_id"":26,""length"":367,""entity_end_seq_id"":368,""ref_end_seq_id"":392}],""Q9Y5X4"":[{""entity_beg_seq_id"":375,""ref_beg_seq_id"":217,""length"":194,""entity_end_seq_id"":568,""ref_end_seq_id"":410}]}","[""Escherichia coli O104:H4"",""HOMO SAPIENS""]","[9606,1133853]",FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(375, 568)] and P0AEX9's range(s) [(2, 368)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
4XAJ_1,4XAJ,1,Q9Y466,TLX,"Maltose-binding periplasmic protein,Nuclear receptor subfamily 2 group E member 1",576,"[""P0AEY0"",""Q9Y466""]",0.524675,0.350694,"{""P0AEY0"":[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":25,""length"":368,""entity_end_seq_id"":368,""ref_end_seq_id"":392}],""Q9Y466"":[{""entity_beg_seq_id"":375,""ref_beg_seq_id"":182,""length"":202,""entity_end_seq_id"":576,""ref_end_seq_id"":383}]}","[""Escherichia coli O157:H7"",""Homo sapiens""]","[9606,83334]",FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(375, 576)] and P0AEY0's range(s) [(1, 368)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
5I4V_1,5I4V,1,P55055,LXRβ,"Oxysterols receptor LXR-beta,Nuclear receptor coactivator 2",270,"[""P55055"",""Q15596""]",0.545652,0.92963,"{""P55055"":[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":210,""length"":251,""entity_end_seq_id"":251,""ref_end_seq_id"":460}],""Q15596"":[{""entity_beg_seq_id"":258,""ref_beg_seq_id"":687,""length"":13,""entity_end_seq_id"":270,""ref_end_seq_id"":699}]}","[""Homo sapiens""]",[9606],FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(1, 251)] and Q15596's range(s) [(258, 270)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
5I4V_2,5I4V,2,P28702,RXRβ,"Retinoic acid receptor RXR-beta,Nuclear receptor coactivator 2",255,"[""P28702"",""Q15596""]",0.442777,0.92549,"{""P28702"":[{""entity_beg_seq_id"":1,""ref_beg_seq_id"":293,""length"":236,""entity_end_seq_id"":236,""ref_end_seq_id"":528}],""Q15596"":[{""entity_beg_seq_id"":243,""ref_beg_seq_id"":687,""length"":13,""entity_end_seq_id"":255,""ref_end_seq_id"":699}]}","[""Homo sapiens""]",[9606],FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(1, 236)] and Q15596's range(s) [(243, 255)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
5VB3_1,5VB3,1,P51449,RORγ,"Nuclear receptor ROR-gamma, SRC2 chimera",280,"[""P51449"",""Q15596""]",0.478764,0.885714,"{""P51449"":[{""entity_beg_seq_id"":17,""ref_beg_seq_id"":260,""length"":248,""entity_end_seq_id"":264,""ref_end_seq_id"":507}],""Q15596"":[{""entity_beg_seq_id"":268,""ref_beg_seq_id"":685,""length"":13,""entity_end_seq_id"":280,""ref_end_seq_id"":697}]}","[""Homo sapiens""]",[9606],FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(17, 264)] and Q15596's range(s) [(268, 280)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
5VB5_1,5VB5,1,P51449,RORγ,"Nuclear receptor ROR-gamma, SRC2 chimera",280,"[""P51449"",""Q15596""]",0.478764,0.885714,"{""P51449"":[{""entity_beg_seq_id"":17,""ref_beg_seq_id"":260,""length"":248,""entity_end_seq_id"":264,""ref_end_seq_id"":507}],""Q15596"":[{""entity_beg_seq_id"":268,""ref_beg_seq_id"":685,""length"":13,""entity_end_seq_id"":280,""ref_end_seq_id"":697}]}","[""Homo sapiens""]",[9606],FUSION_OR_CHIMERA,"Project receptor's aligned entity-sequence range(s) [(17, 264)] and Q15596's range(s) [(268, 280)] overlap by only 0.0% — disjoint regions of the same chain, consistent with an engineered fusion/chimera construct."
