uniprot_id,nr_code,common_name,pdb_id,polymer_entity_id,instance_count,min_coverage,max_coverage,median_coverage,coverage_range,count_ge_100pct,count_ge_99pct,count_ge_95pct,count_ge_90pct,count_ge_80pct,flag
O00482,NR5A2,LRH-1,1YUC,1YUC_1,2,0.995833,1.0,0.9979165,0.004167000000000032,1,2,2,2,2,
O00482,NR5A2,LRH-1,3PLZ,3PLZ_1,2,0.9625,0.995833,0.9791665,0.033332999999999946,0,1,2,2,2,
O00482,NR5A2,LRH-1,4DOR,4DOR_1,2,0.9,1.0,0.95,0.09999999999999998,1,1,1,2,2,INSTANCE_COVERAGE_HETEROGENEITY_REVIEW
O00482,NR5A2,LRH-1,4IS8,4IS8_1,2,0.958333,0.958333,0.958333,0.0,0,0,2,2,2,
O00482,NR5A2,LRH-1,4ONI,4ONI_1,2,1.0,1.0,1.0,0.0,2,2,2,2,2,
O00482,NR5A2,LRH-1,4PLE,4PLE_1,4,0.9875,0.991667,0.9895835,0.004166999999999921,0,2,4,4,4,
O75469,NR1I2,PXR,1NRL,1NRL_1,2,0.940972,0.951389,0.9461805000000001,0.01041700000000001,0,0,1,2,2,
O75469,NR1I2,PXR,2O9I,2O9I_1,2,0.954861,0.954861,0.954861,0.0,0,0,2,2,2,
O75469,NR1I2,PXR,3CTB,3CTB_1,2,0.923611,0.930556,0.9270835,0.00694500000000009,0,0,0,2,2,
O75469,NR1I2,PXR,3HVL,3HVL_1,2,0.923611,0.930556,0.9270835,0.00694500000000009,0,0,0,2,2,
O75469,NR1I2,PXR,4J5W,4J5W_1,2,0.934028,0.9375,0.935764,0.0034720000000000306,0,0,0,2,2,
O75469,NR1I2,PXR,4J5X,4J5X_2,2,0.930556,0.947917,0.9392365,0.01736099999999996,0,0,0,2,2,
O75469,NR1I2,PXR,4S0S,4S0S_1,2,0.9375,0.9375,0.9375,0.0,0,0,0,2,2,
O75469,NR1I2,PXR,4S0T,4S0T_1,2,0.958333,0.96875,0.9635415,0.01041700000000001,0,0,2,2,2,
O75469,NR1I2,PXR,5A86,5A86_1,2,0.930556,0.934028,0.932292,0.0034719999999999196,0,0,0,2,2,
O75469,NR1I2,PXR,5X0R,5X0R_1,2,0.809028,0.868056,0.838542,0.05902800000000008,0,0,0,0,2,INSTANCE_COVERAGE_HETEROGENEITY_REVIEW
O75469,NR1I2,PXR,6BNS,6BNS_1,2,0.916667,0.927083,0.921875,0.01041599999999998,0,0,0,2,2,
O75469,NR1I2,PXR,6DUP,6DUP_1,2,0.881944,0.892361,0.8871525,0.01041700000000001,0,0,0,0,2,
O75469,NR1I2,PXR,6HTY,6HTY_1,2,0.951389,0.951389,0.951389,0.0,0,0,2,2,2,
O75469,NR1I2,PXR,6NX1,6NX1_1,2,0.930556,0.951389,0.9409725,0.02083299999999999,0,0,1,2,2,
O75469,NR1I2,PXR,6P2B,6P2B_1,2,0.90625,0.934028,0.920139,0.02777799999999997,0,0,0,2,2,
O75469,NR1I2,PXR,6S41,6S41_1,2,0.923611,0.930556,0.9270835,0.00694500000000009,0,0,0,2,2,
O75469,NR1I2,PXR,6TFI,6TFI_1,2,0.947917,0.954861,0.951389,0.00694399999999995,0,0,1,2,2,
O75469,NR1I2,PXR,6XP9,6XP9_1,2,0.84375,0.857639,0.8506945,0.01388900000000004,0,0,0,0,2,
O75469,NR1I2,PXR,7YFK,7YFK_1,2,0.930556,0.930556,0.930556,0.0,0,0,0,2,2,
O75469,NR1I2,PXR,8EQZ,8EQZ_1,2,0.934028,0.947917,0.9409725,0.01388900000000004,0,0,0,2,2,
O75469,NR1I2,PXR,8F5Y,8F5Y_1,2,0.809028,0.951389,0.8802085,0.14236100000000007,0,0,1,1,2,INSTANCE_COVERAGE_HETEROGENEITY_REVIEW
O75469,NR1I2,PXR,8SVN,8SVN_1,2,0.930556,0.930556,0.930556,0.0,0,0,0,2,2,
O75469,NR1I2,PXR,8SVO,8SVO_1,2,0.892361,0.940972,0.9166665,0.04861100000000007,0,0,0,1,2,
O75469,NR1I2,PXR,8SVP,8SVP_1,2,0.857639,0.881944,0.8697915,0.02430499999999991,0,0,0,0,2,
O75469,NR1I2,PXR,8SVQ,8SVQ_1,2,0.90625,0.909722,0.907986,0.0034720000000000306,0,0,0,2,2,
O75469,NR1I2,PXR,8SVR,8SVR_1,2,0.892361,0.913194,0.9027775,0.02083299999999999,0,0,0,1,2,
O75469,NR1I2,PXR,8SVS,8SVS_1,2,0.899306,0.899306,0.899306,0.0,0,0,0,0,2,
O75469,NR1I2,PXR,8SVT,8SVT_1,2,0.923611,0.9375,0.9305555,0.01388900000000004,0,0,0,2,2,
O75469,NR1I2,PXR,8SVU,8SVU_1,2,0.895833,0.916667,0.90625,0.02083400000000002,0,0,0,1,2,
O75469,NR1I2,PXR,8SVX,8SVX_1,2,0.927083,0.927083,0.927083,0.0,0,0,0,2,2,
O75469,NR1I2,PXR,9FZI,9FZI_1,2,0.923611,0.934028,0.9288194999999999,0.01041700000000001,0,0,0,2,2,
O75469,NR1I2,PXR,9O41,9O41_1,2,0.944444,0.947917,0.9461805,0.0034730000000000594,0,0,0,2,2,
O75469,NR1I2,PXR,9O42,9O42_1,2,0.923611,0.947917,0.935764,0.02430600000000005,0,0,0,2,2,
O75469,NR1I2,PXR,9O43,9O43_1,2,0.920139,0.947917,0.9340280000000001,0.02777799999999997,0,0,0,2,2,
O75469,NR1I2,PXR,9O44,9O44_1,2,0.944444,0.947917,0.9461805,0.0034730000000000594,0,0,0,2,2,
O75469,NR1I2,PXR,9O45,9O45_1,2,0.934028,0.947917,0.9409725,0.01388900000000004,0,0,0,2,2,
O75469,NR1I2,PXR,9O46,9O46_1,2,0.934028,0.9375,0.935764,0.0034720000000000306,0,0,0,2,2,
O95718,NR3B2,ERRβ,6LIT,6LIT_1,2,0.875556,0.88,0.877778,0.0044440000000000035,0,0,0,0,2,
P03372,NR3A1,ERα,1A52,1A52_1,2,0.987342,0.987342,0.987342,0.0,0,0,2,2,2,
P03372,NR3A1,ERα,1ERE,1ERE_1,6,0.962025,0.962025,0.962025,0.0,0,0,6,6,6,
P03372,NR3A1,ERα,1ERR,1ERR_1,2,0.902954,0.932489,0.9177215000000001,0.029534999999999978,0,0,0,2,2,
P03372,NR3A1,ERα,1G50,1G50_1,3,1.0,1.0,1.0,0.0,3,3,3,3,3,
P03372,NR3A1,ERα,1GWQ,1GWQ_1,2,0.974684,0.978903,0.9767935,0.004218999999999973,0,0,2,2,2,
P03372,NR3A1,ERα,1GWR,1GWR_1,2,0.974684,0.978903,0.9767935,0.004218999999999973,0,0,2,2,2,
P03372,NR3A1,ERα,1L2I,1L2I_1,2,0.953586,0.962025,0.9578055000000001,0.008438999999999974,0,0,2,2,2,
P03372,NR3A1,ERα,1PCG,1PCG_1,2,0.949367,0.995781,0.972574,0.046414000000000066,0,1,1,2,2,
P03372,NR3A1,ERα,1QKU,1QKU_1,3,1.0,1.0,1.0,0.0,3,3,3,3,3,
P03372,NR3A1,ERα,1R5K,1R5K_1,3,0.970464,0.974684,0.970464,0.0042200000000000015,0,0,3,3,3,
P03372,NR3A1,ERα,1X7E,1X7E_1,2,0.970464,0.970464,0.970464,0.0,0,0,2,2,2,
P03372,NR3A1,ERα,1XQC,1XQC_1,4,0.911392,0.924051,0.9177215,0.012658999999999976,0,0,0,4,4,
P03372,NR3A1,ERα,1ZKY,1ZKY_1,2,0.970464,1.0,0.985232,0.029536000000000007,1,1,2,2,2,
P03372,NR3A1,ERα,2B1V,2B1V_1,2,0.966245,1.0,0.9831225,0.03375499999999998,1,1,2,2,2,
P03372,NR3A1,ERα,2B1Z,2B1Z_1,2,0.962025,0.978903,0.970464,0.01687799999999995,0,0,2,2,2,
P03372,NR3A1,ERα,2B23,2B23_1,2,0.936709,0.957806,0.9472575000000001,0.021097000000000032,0,0,1,2,2,
P03372,NR3A1,ERα,2FAI,2FAI_1,2,0.966245,1.0,0.9831225,0.03375499999999998,1,1,2,2,2,
P03372,NR3A1,ERα,2G44,2G44_1,2,0.957806,0.970464,0.964135,0.012657999999999947,0,0,2,2,2,
P03372,NR3A1,ERα,2G5O,2G5O_1,2,0.966245,0.970464,0.9683545,0.004218999999999973,0,0,2,2,2,
P03372,NR3A1,ERα,2I0J,2I0J_1,4,0.911392,0.936709,0.9240505,0.025317000000000034,0,0,0,4,4,
P03372,NR3A1,ERα,2IOK,2IOK_1,2,0.936709,0.940928,0.9388185,0.004218999999999973,0,0,0,2,2,
P03372,NR3A1,ERα,2JF9,2JF9_1,3,0.85654,0.881857,0.877637,0.025317000000000034,0,0,0,0,3,
P03372,NR3A1,ERα,2P15,2P15_1,2,0.987342,0.987342,0.987342,0.0,0,0,2,2,2,
P03372,NR3A1,ERα,2POG,2POG_1,2,0.869198,0.949367,0.9092825,0.08016899999999993,0,0,0,1,2,INSTANCE_COVERAGE_HETEROGENEITY_REVIEW
P03372,NR3A1,ERα,2Q6J,2Q6J_1,2,0.953586,0.991561,0.9725735,0.03797499999999998,0,1,2,2,2,
P03372,NR3A1,ERα,2Q70,2Q70_1,2,0.869198,0.962025,0.9156115,0.09282699999999999,0,0,1,1,2,INSTANCE_COVERAGE_HETEROGENEITY_REVIEW
P03372,NR3A1,ERα,2QA6,2QA6_1,2,0.987342,0.991561,0.9894515,0.004218999999999973,0,1,2,2,2,
P03372,NR3A1,ERα,2QAB,2QAB_1,2,0.966245,1.0,0.9831225,0.03375499999999998,1,1,2,2,2,
