uniprot_id,nr_code,common_name,group,pdb_id,polymer_entity_id,entity_id,experimental_method,has_stage3b_coordinate_data,method_is_xray,mapping_overlaps_lbd,lbd_mapping_category,standardized_lbd_start,standardized_lbd_end,standardized_lbd_length,construct_lbd_mapping_coverage,positive_occupancy_lbd_coverage,bfactor_usable_lbd_coverage,coverage_ge_080,coverage_ge_090,coverage_ge_095,coverage_ge_099,coverage_eq_100,coordinate_data_status,candidate_instance_count,resolution,resolution_project_range_status,r_free,r_free_status,identity_class,fusion_or_chimera,taxonomy_audit_status,previous_primary_qc_member,previous_primary_exclusion_reasons_json,representative_instance_id,label_asym_id,auth_asym_id,ligand_state,ligand_annotation_status,functional_ligand_component_ids,mmcif_sha256,in_completeness_95_sensitivity,in_completeness_99_sensitivity,in_completeness_80_sensitivity,in_ultrahigh_resolution_sensitivity,in_no_fusion_sensitivity
P10275,NR3C4,AR,Steroid hormone receptors,1E3G,1E3G_1,1,"[""X-RAY DIFFRACTION""]",True,True,True,NEAR_COMPLETE_LBD,669,900,232,1.0,0.99569,0.99569,True,True,True,True,False,COORDINATE_DATA_AVAILABLE,1,2.4,PASS_PROJECT_RANGE,0.297,PASS_ALL_LE_0_30,HUMAN_OR_HUMAN_DERIVED,False,,True,[],1E3G.A,A,A,HOLO,RESOLVED,"[""R18""]",cb91cd8a500aad48cb74b6f50856527266482a6198daf4a512e4ed72f7471b36,True,True,True,False,True
P10275,NR3C4,AR,Steroid hormone receptors,1GS4,1GS4_1,1,"[""X-RAY DIFFRACTION""]",True,True,True,NEAR_COMPLETE_LBD,669,900,232,0.991379,0.974138,0.974138,True,True,True,False,False,COORDINATE_DATA_AVAILABLE,1,1.95,PASS_PROJECT_RANGE,0.285,PASS_ALL_LE_0_30,HUMAN_OR_HUMAN_DERIVED,False,,True,[],1GS4.A,A,A,HOLO,RESOLVED,"[""ZK5""]",c66f5c157cf8d8e273a3da52a9498f312d97097251d537fe2908e483f40b6d3c,True,False,True,False,True
P10275,NR3C4,AR,Steroid hormone receptors,1T5Z,1T5Z_1,1,"[""X-RAY DIFFRACTION""]",True,True,True,NEAR_COMPLETE_LBD,669,900,232,0.99569,0.99569,0.99569,True,True,True,True,False,COORDINATE_DATA_AVAILABLE,1,2.3,PASS_PROJECT_RANGE,0.26,PASS_ALL_LE_0_30,HUMAN_OR_HUMAN_DERIVED,False,,True,[],1T5Z.A,A,A,HOLO,RESOLVED,"[""DHT""]",53f32362d0de69165a0f1bf67ebc1653ae43d287a0a81d14110cbd8338851ad5,True,True,True,False,True
P10275,NR3C4,AR,Steroid hormone receptors,1T63,1T63_1,1,"[""X-RAY DIFFRACTION""]",True,True,True,NEAR_COMPLETE_LBD,669,900,232,0.99569,0.99569,0.99569,True,True,True,True,False,COORDINATE_DATA_AVAILABLE,1,2.07,PASS_PROJECT_RANGE,0.23,PASS_ALL_LE_0_30,HUMAN_OR_HUMAN_DERIVED,False,,True,[],1T63.A,A,A,HOLO,RESOLVED,"[""DHT""]",dc7bd42de6c9551f4d68bedd73adcfee84090b5f303ca40cf421138d7d021097,True,True,True,False,True
P10275,NR3C4,AR,Steroid hormone receptors,1T65,1T65_1,1,"[""X-RAY DIFFRACTION""]",True,True,True,NEAR_COMPLETE_LBD,669,900,232,0.99569,0.99569,0.99569,True,True,True,True,False,COORDINATE_DATA_AVAILABLE,1,1.66,ULTRAHIGH_LT_1_8,0.27,PASS_ALL_LE_0_30,HUMAN_OR_HUMAN_DERIVED,False,,False,"[""RESOLUTION_LT_1_8""]",1T65.A,A,A,HOLO,RESOLVED,"[""DHT""]",b285ce47652d319c39f665e15cc26537d1041cbdc3c13fbb0099a26eec5e79d0,False,False,False,True,False
P10275,NR3C4,AR,Steroid hormone receptors,1XJ7,1XJ7_1,1,"[""X-RAY DIFFRACTION""]",True,True,True,NEAR_COMPLETE_LBD,669,900,232,1.0,1.0,1.0,True,True,True,True,True,COORDINATE_DATA_AVAILABLE,1,2.7,PASS_PROJECT_RANGE,0.32,FAIL_ALL_GT_0_30,HUMAN_OR_HUMAN_DERIVED,False,,False,"[""RFREE_GT_0_30""]",1XJ7.A,A,A,HOLO,RESOLVED,"[""DHT""]",4c1194504a4433f0e99c6a398bf88d6960d9840927e762e996cbe71facda09e8,False,False,False,False,False
P10275,NR3C4,AR,Steroid hormone receptors,1XOW,1XOW_1,1,"[""X-RAY DIFFRACTION""]",True,True,True,NEAR_COMPLETE_LBD,669,900,232,0.987069,0.961207,0.961207,True,True,True,False,False,COORDINATE_DATA_AVAILABLE,1,1.8,PASS_PROJECT_RANGE,0.213,PASS_ALL_LE_0_30,HUMAN_OR_HUMAN_DERIVED,False,,True,[],1XOW.A,A,A,HOLO,RESOLVED,"[""R18""]",5199acf5186b9b915b8e2cf02445106baad58f942db0c48adb0eabe911d25d14,True,False,True,False,True
P10275,NR3C4,AR,Steroid hormone receptors,1XOW,1XOW_2,2,"[""X-RAY DIFFRACTION""]",False,True,False,NO_LBD_OVERLAP,669,900,232,0.0,,,,,,,,NO_STAGE3B_COORDINATE_DATA,,1.8,PASS_PROJECT_RANGE,0.213,PASS_ALL_LE_0_30,HUMAN_OR_HUMAN_DERIVED,False,,False,"[""NO_LBD_OVERLAP""]",,,,NOT_ASSESSABLE_NO_COORDINATE_DATA,NOT_ASSESSABLE_NO_COORDINATE_DATA,,,False,False,False,False,False
P10275,NR3C4,AR,Steroid hormone receptors,1XQ3,1XQ3_1,1,"[""X-RAY DIFFRACTION""]",True,True,True,NEAR_COMPLETE_LBD,669,900,232,0.987069,0.961207,0.961207,True,True,True,False,False,COORDINATE_DATA_AVAILABLE,1,2.25,PASS_PROJECT_RANGE,0.242,PASS_ALL_LE_0_30,HUMAN_OR_HUMAN_DERIVED,False,,True,[],1XQ3.A,A,A,HOLO,RESOLVED,"[""R18""]",fca3b352d3e21203920cd8b06c06acba3d7018f5458a322e67af90f962bc998a,True,False,True,False,True
P10275,NR3C4,AR,Steroid hormone receptors,1Z95,1Z95_1,1,"[""X-RAY DIFFRACTION""]",True,True,True,NEAR_COMPLETE_LBD,669,900,232,0.982759,0.948276,0.948276,True,True,False,False,False,COORDINATE_DATA_AVAILABLE,1,1.8,PASS_PROJECT_RANGE,0.256,PASS_ALL_LE_0_30,HUMAN_OR_HUMAN_DERIVED,False,,True,[],1Z95.A,A,A,HOLO,RESOLVED,"[""198""]",39bc7bc4c7fb983fdbea5c3202b2630c926377a7b18e910376466a7ba0dfefda,False,False,True,False,True
P10275,NR3C4,AR,Steroid hormone receptors,2AM9,2AM9_1,1,"[""X-RAY DIFFRACTION""]",True,True,True,NEAR_COMPLETE_LBD,669,900,232,1.0,0.991379,0.991379,True,True,True,True,False,COORDINATE_DATA_AVAILABLE,1,1.64,ULTRAHIGH_LT_1_8,0.23,PASS_ALL_LE_0_30,HUMAN_OR_HUMAN_DERIVED,False,,False,"[""RESOLUTION_LT_1_8""]",2AM9.A,A,A,HOLO,RESOLVED,"[""TES""]",0c6ebf9e324fe844937da5eb939addb6ce4ee8ff64cd9ef4a2330967a500bdc0,False,False,False,True,False
