uniprot_id,nr_code,common_name,group,pdb_id,polymer_entity_id,entity_id,lbd_start,lbd_end,lbd_length,lbd_definition,lbd_coordinate_system,mapped_reference_residues_total,mapped_lbd_residues,lbd_mapping_coverage,mapped_non_lbd_residues,mapping_overlaps_lbd,mapping_fully_spans_lbd_reference_interval,mapped_dbd_residues,dbd_mapping_coverage,mapping_overlaps_dbd,lbd_mapping_category,alignment_regions_json,mapping_status,mapping_notes
P10275,NR3C4,AR,Steroid hormone receptors,1E3G,1E3G_1,1,669,900,232,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,263,232,1.0,31,True,True,0,0.0,False,NEAR_COMPLETE_LBD,"[{""query_begin"":658,""query_end"":920,""target_begin"":1,""target_end"":263}]",PASS,
P10275,NR3C4,AR,Steroid hormone receptors,1GS4,1GS4_1,1,669,900,232,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,248,230,0.991379,18,True,False,0,0.0,False,NEAR_COMPLETE_LBD,"[{""query_begin"":671,""query_end"":918,""target_begin"":1,""target_end"":248}]",PASS,
P10275,NR3C4,AR,Steroid hormone receptors,1T5Z,1T5Z_1,1,669,900,232,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,251,231,0.99569,20,True,False,0,0.0,False,NEAR_COMPLETE_LBD,"[{""query_begin"":670,""query_end"":920,""target_begin"":1,""target_end"":251}]",PASS,
P10275,NR3C4,AR,Steroid hormone receptors,1T63,1T63_1,1,669,900,232,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,251,231,0.99569,20,True,False,0,0.0,False,NEAR_COMPLETE_LBD,"[{""query_begin"":670,""query_end"":920,""target_begin"":1,""target_end"":251}]",PASS,
P10275,NR3C4,AR,Steroid hormone receptors,1T65,1T65_1,1,669,900,232,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,251,231,0.99569,20,True,False,0,0.0,False,NEAR_COMPLETE_LBD,"[{""query_begin"":670,""query_end"":920,""target_begin"":1,""target_end"":251}]",PASS,
P10275,NR3C4,AR,Steroid hormone receptors,1XJ7,1XJ7_1,1,669,900,232,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,257,232,1.0,25,True,True,0,0.0,False,NEAR_COMPLETE_LBD,"[{""query_begin"":664,""query_end"":920,""target_begin"":1,""target_end"":257}]",PASS,
P10275,NR3C4,AR,Steroid hormone receptors,1XOW,1XOW_1,1,669,900,232,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,249,229,0.987069,20,True,False,0,0.0,False,NEAR_COMPLETE_LBD,"[{""query_begin"":672,""query_end"":920,""target_begin"":1,""target_end"":249}]",PASS,
P10275,NR3C4,AR,Steroid hormone receptors,1XOW,1XOW_2,2,669,900,232,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,11,0,0.0,11,False,False,0,0.0,False,NO_LBD_OVERLAP,"[{""query_begin"":20,""query_end"":30,""target_begin"":1,""target_end"":11}]",PASS,
P10275,NR3C4,AR,Steroid hormone receptors,1XQ3,1XQ3_1,1,669,900,232,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,249,229,0.987069,20,True,False,0,0.0,False,NEAR_COMPLETE_LBD,"[{""query_begin"":672,""query_end"":920,""target_begin"":1,""target_end"":249}]",PASS,
P10275,NR3C4,AR,Steroid hormone receptors,1Z95,1Z95_1,1,669,900,232,UNIPROT_PROSITE_NR_LBD,UNIPROT_CANONICAL_1_BASED_INCLUSIVE,246,228,0.982759,18,True,False,0,0.0,False,NEAR_COMPLETE_LBD,"[{""query_begin"":673,""query_end"":918,""target_begin"":1,""target_end"":246}]",PASS,
