uniprot_id,nr_code,common_name,site_id,site_name,pdb_id,site_mean_z,n_site_residues,n_available_residues,site_coverage
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,1A52,0.8368792431279991,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,1ERE,-0.31932245367328427,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,1ERR,-0.12044957123714616,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,1GWQ,0.16417447729129447,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,1GWR,0.10105842211908074,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,1L2I,0.2146171269464781,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,1PCG,0.2394420057439819,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,1QKT,-0.12774514310586052,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,1QKU,-0.35851229885550334,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,1R5K,0.7590107592096167,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,1SJ0,0.23543807226296812,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,1UOM,0.5734225317051265,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,1X7E,-0.14782915008067818,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,1X7R,-0.10121696015148168,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,1XP1,0.22446478581292287,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,1XP9,0.10806226540215672,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,1XQC,0.4050783648643222,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,1YIM,0.14991664662702975,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,1YIN,0.23804788176199312,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,1ZKY,-0.3920994203100645,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,2AYR,0.020151597191124082,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,2B1V,-0.016838922158551622,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,2B23,-0.07002808772569541,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,2BJ4,,2,1,0.5
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,2FAI,0.10729228675152802,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,2G44,0.30727155242435344,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,2G5O,0.2072081701009355,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,2I0J,0.13223441642022976,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,2JFA,,2,1,0.5
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,2OCF,-0.399116727467715,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,2OUZ,-0.10542065385873825,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,2P15,0.37931914869425515,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,2POG,-0.013550261327379312,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,2Q6J,0.7377749489825917,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,2QA6,-0.36994281885502733,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,2QA8,0.030024032296129044,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,2QAB,-0.05815162698312726,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,2QGT,-0.03977464449226006,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,2QGW,0.11853118141311161,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,2QH6,0.27357607200203204,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,2QR9,-0.11707014943191696,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,2QSE,-0.04473596773047992,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,2QXM,-0.3517715979088699,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,2R6W,0.3560196218289144,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,2R6Y,0.5404177300474943,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,2YAT,-0.13898708512713395,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,2YJA,-0.26405145335912783,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,3DT3,0.04259191199964424,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,3ERD,0.09507842330715494,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,3ERT,-0.04953209902982847,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,3HLV,-0.12616482519039873,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,3HM1,0.0666801167930764,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,3L03,0.09171428705608493,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,3OS8,-0.05050799428014896,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,3OS9,-0.11767127562189891,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,3OSA,-0.15117625707848573,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,3Q95,0.09206625266207653,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,3UU7,-0.13167683130320618,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,3UUA,-0.07713606219133974,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,3UUC,0.6380344243231608,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,4DMA,-0.19678010945622343,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,4IU7,0.07096876014090342,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,4IV2,0.2249165918583702,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,4IV4,0.23453668403399816,2,2,1.0
P03372,NR3A1,ERalpha,af2_coactivator_groove,AF-2 coactivator groove,4IVW,-0.054771874316751706,2,2,1.0
