uniprot_id,nr_code,common_name,group,query_uniprot_id,polymer_entity_id,pdb_id,entity_id,query_retrieved_at_utc
P10275,NR3C4,AR,Steroid hormone receptors,P10275,1E3G_1,1E3G,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,1GS4_1,1GS4,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,1T5Z_1,1T5Z,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,1T63_1,1T63,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,1T65_1,1T65,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,1XJ7_1,1XJ7,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,1XOW_1,1XOW,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,1XOW_2,1XOW,2,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,1XQ3_1,1XQ3,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,1Z95_1,1Z95,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,2AM9_1,2AM9,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,2AMA_1,2AMA,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,2AMB_1,2AMB,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,2AO6_1,2AO6,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,2AX6_1,2AX6,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,2AX7_1,2AX7,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,2AX8_1,2AX8,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,2AX9_1,2AX9,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,2AXA_1,2AXA,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,2HVC_1,2HVC,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,2OZ7_1,2OZ7,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,2PIO_1,2PIO,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,2PIP_1,2PIP,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,2PIQ_1,2PIQ,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,2PIR_1,2PIR,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,2PIT_1,2PIT,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,2PIU_1,2PIU,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,2PIV_1,2PIV,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,2PIW_1,2PIW,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,2PIX_1,2PIX,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,2PKL_1,2PKL,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,2PNU_1,2PNU,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,2Q7I_1,2Q7I,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,2Q7I_2,2Q7I,2,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,2Q7J_1,2Q7J,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,2Q7K_1,2Q7K,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,2Q7K_2,2Q7K,2,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,2Q7L_1,2Q7L,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,2YHD_1,2YHD,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,2YLO_1,2YLO,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,2YLP_1,2YLP,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,2YLQ_1,2YLQ,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,2Z4J_1,2Z4J,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,3B5R_1,3B5R,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,3B65_1,3B65,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,3B66_1,3B66,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,3B67_1,3B67,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,3B68_1,3B68,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,3BTR_2,3BTR,2,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,3L3X_1,3L3X,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,3L3Z_1,3L3Z,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,3RLJ_1,3RLJ,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,3RLL_1,3RLL,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,3V49_1,3V49,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,3V49_2,3V49,2,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,3V4A_1,3V4A,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,3V4A_2,3V4A,2,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,3ZQT_1,3ZQT,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,4HLW_1,4HLW,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,4K7A_1,4K7A,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,4OEA_1,4OEA,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,4OED_1,4OED,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,4OEY_1,4OEY,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,4OEZ_1,4OEZ,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,4OFR_1,4OFR,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,4OFU_1,4OFU,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,4OGH_1,4OGH,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,4OH5_1,4OH5,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,4OH6_1,4OH6,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,4OHA_1,4OHA,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,4OIL_1,4OIL,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,4OIU_1,4OIU,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,4OJ9_1,4OJ9,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,4OJB_1,4OJB,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,4OK1_1,4OK1,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,4OKB_1,4OKB,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,4OKT_1,4OKT,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,4OKW_1,4OKW,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,4OKX_1,4OKX,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,4OLM_1,4OLM,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,4QL8_1,4QL8,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,5CJ6_1,5CJ6,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,5CJ6_2,5CJ6,2,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,5JJM_1,5JJM,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,5JJM_3,5JJM,3,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,5T8E_1,5T8E,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,5T8J_1,5T8J,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,5V8Q_1,5V8Q,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,5VO4_1,5VO4,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,7ZTX_1,7ZTX,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,7ZTZ_1,7ZTZ,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,7ZU1_1,7ZU1,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,7ZU2_1,7ZU2,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,8E1A_1,8E1A,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,8FGY_1,8FGY,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,8FGZ_1,8FGZ,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,8FH0_1,8FH0,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,8FH1_1,8FH1,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,8FH2_1,8FH2,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,8RM6_1,8RM6,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,8RM7_1,8RM7,1,2026-09-23T16:40:36.870535+00:00
P10275,NR3C4,AR,Steroid hormone receptors,P10275,9GZD_1,9GZD,1,2026-09-23T16:40:36.870535+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,11SD_2,11SD,2,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,11SE_2,11SE,2,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,11SF_2,11SF,2,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,11SG_2,11SG,2,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,11SH_2,11SH,2,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,11SI_2,11SI,2,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,11SJ_2,11SJ,2,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,11ZU_2,11ZU,2,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,1A52_1,1A52,1,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,1ERE_1,1ERE,1,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,1ERR_1,1ERR,1,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,1G50_1,1G50,1,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,1GWQ_1,1GWQ,1,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,1GWR_1,1GWR,1,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,1HCP_1,1HCP,1,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,1HCQ_3,1HCQ,3,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,1L2I_1,1L2I,1,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,1PCG_1,1PCG,1,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,1QKT_1,1QKT,1,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,1QKU_1,1QKU,1,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,1R5K_1,1R5K,1,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,1SJ0_1,1SJ0,1,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,1UOM_1,1UOM,1,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,1X7E_1,1X7E,1,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,1X7R_1,1X7R,1,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,1XP1_1,1XP1,1,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,1XP6_1,1XP6,1,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,1XP9_1,1XP9,1,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,1XPC_1,1XPC,1,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,1XQC_1,1XQC,1,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,1YIM_1,1YIM,1,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,1YIN_1,1YIN,1,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,1ZKY_1,1ZKY,1,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,2AYR_1,2AYR,1,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,2B1V_1,2B1V,1,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,2B1Z_1,2B1Z,1,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,2B23_1,2B23,1,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,2BJ4_1,2BJ4,1,2026-09-23T16:40:37.689933+00:00
P03372,NR3A1,ERα,Steroid hormone receptors,P03372,2BJ4_2,2BJ4,2,2026-09-23T16:40:37.689933+00:00
